Progetto;#Training Release;%Training;%Buggy in training;%Buggy in test;Classifier;Feature selection;Balancing;TP;FP;TN;FN;Precision;Recall;Area Under ROC;Kappa
BOOKKEEPER;5;0.81;0.26;0.32;Random Forest;Best First;no resample;79.00;14.00;294.00;65.00;0.85;0.55;0.91;0.56
BOOKKEEPER;6;0.77;0.27;0.08;Random Forest;Best First;no resample;37.00;163.00;473.00;16.00;0.19;0.70;0.77;0.19
BOOKKEEPER;7;0.81;0.22;0.04;Random Forest;Best First;no resample;13.00;54.00;609.00;17.00;0.19;0.43;0.81;0.22
BOOKKEEPER;8;0.84;0.19;0.07;Random Forest;Best First;no resample;12.00;36.00;614.00;34.00;0.25;0.26;0.80;0.20
BOOKKEEPER;9;0.93;0.17;0.09;Random Forest;Best First;no resample;9.00;28.00;280.00;20.00;0.24;0.31;0.78;0.20
MEAN;;;;;;;;39.56;53.00;367.78;38.89;0.43;0.48;0.80;0.31
;
BOOKKEEPER;1;0.53;0.50;0.22;Random Forest;Best First;Oversampling;36.00;70.00;165.00;30.00;0.34;0.55;0.69;0.20
BOOKKEEPER;2;0.65;0.50;0.18;Random Forest;Best First;Oversampling;48.00;132.00;230.00;29.00;0.27;0.62;0.71;0.17
BOOKKEEPER;3;0.78;0.50;0.27;Random Forest;Best First;Oversampling;82.00;37.00;285.00;36.00;0.69;0.69;0.88;0.58
BOOKKEEPER;4;0.83;0.50;0.32;Random Forest;Best First;Oversampling;78.00;38.00;265.00;65.00;0.67;0.55;0.74;0.44
BOOKKEEPER;5;0.86;0.50;0.32;Random Forest;Best First;Oversampling;103.00;37.00;271.00;41.00;0.74;0.72;0.87;0.60
BOOKKEEPER;6;0.83;0.50;0.08;Random Forest;Best First;Oversampling;40.00;228.00;408.00;13.00;0.15;0.75;0.72;0.14
BOOKKEEPER;7;0.87;0.50;0.04;Random Forest;Best First;Oversampling;17.00;59.00;604.00;13.00;0.22;0.57;0.85;0.28
BOOKKEEPER;8;0.90;0.50;0.07;Random Forest;Best First;Oversampling;16.00;36.00;614.00;30.00;0.31;0.35;0.80;0.28
BOOKKEEPER;9;0.96;0.50;0.09;Random Forest;Best First;Oversampling;12.00;47.00;261.00;17.00;0.20;0.41;0.78;0.18
MEAN;;;;;;;;48.00;76.00;344.78;30.44;0.40;0.58;0.78;0.32
;
BOOKKEEPER;1;0.33;0.50;0.22;Random Forest;Best First;Undersampling;39.00;75.00;160.00;27.00;0.34;0.59;0.72;0.22
BOOKKEEPER;2;0.39;0.50;0.18;Random Forest;Best First;Undersampling;60.00;171.00;191.00;17.00;0.26;0.78;0.73;0.17
BOOKKEEPER;3;0.50;0.50;0.27;Random Forest;Best First;Undersampling;90.00;82.00;240.00;28.00;0.52;0.76;0.82;0.44
BOOKKEEPER;4;0.60;0.50;0.32;Random Forest;Best First;Undersampling;98.00;72.00;231.00;45.00;0.58;0.69;0.80;0.43
BOOKKEEPER;5;0.68;0.50;0.32;Random Forest;Best First;Undersampling;109.00;42.00;266.00;35.00;0.72;0.76;0.90;0.61
BOOKKEEPER;6;0.64;0.50;0.08;Random Forest;Best First;Undersampling;39.00;245.00;391.00;14.00;0.14;0.74;0.74;0.12
BOOKKEEPER;7;0.66;0.50;0.04;Random Forest;Best First;Undersampling;20.00;93.00;570.00;10.00;0.18;0.67;0.86;0.23
BOOKKEEPER;8;0.67;0.50;0.07;Random Forest;Best First;Undersampling;27.00;71.00;579.00;19.00;0.28;0.59;0.84;0.31
BOOKKEEPER;9;0.82;0.50;0.09;Random Forest;Best First;Undersampling;16.00;69.00;239.00;13.00;0.19;0.55;0.78;0.17
MEAN;;;;;;;;55.33;102.22;318.56;23.11;0.36;0.68;0.80;0.30
;
BOOKKEEPER;1;0.53;0.50;0.22;Random Forest;Best First;Smote;37.00;57.00;178.00;29.00;0.39;0.56;0.69;0.28
BOOKKEEPER;2;0.65;0.50;0.18;Random Forest;Best First;Smote;52.00;99.00;263.00;25.00;0.34;0.68;0.77;0.29
BOOKKEEPER;3;0.78;0.50;0.27;Random Forest;Best First;Smote;79.00;69.00;253.00;39.00;0.53;0.67;0.79;0.42
BOOKKEEPER;4;0.83;0.50;0.32;Random Forest;Best First;Smote;82.00;37.00;266.00;61.00;0.69;0.57;0.84;0.47
BOOKKEEPER;5;0.86;0.50;0.32;Random Forest;Best First;Smote;109.00;42.00;266.00;35.00;0.72;0.76;0.90;0.61
BOOKKEEPER;6;0.83;0.50;0.08;Random Forest;Best First;Smote;42.00;185.00;451.00;11.00;0.19;0.79;0.79;0.20
BOOKKEEPER;7;0.87;0.50;0.04;Random Forest;Best First;Smote;16.00;59.00;604.00;14.00;0.21;0.53;0.82;0.26
BOOKKEEPER;8;0.90;0.50;0.07;Random Forest;Best First;Smote;19.00;65.00;585.00;27.00;0.23;0.41;0.80;0.23
BOOKKEEPER;9;0.96;0.50;0.09;Random Forest;Best First;Smote;14.00;46.00;262.00;15.00;0.23;0.48;0.73;0.22
MEAN;;;;;;;;50.00;73.22;347.56;28.44;0.39;0.61;0.79;0.33
;
BOOKKEEPER;1;0.44;0.30;0.22;Naive Bayes;no feature selection;no resample;29.00;80.00;155.00;37.00;0.27;0.44;0.51;0.08
BOOKKEEPER;2;0.55;0.26;0.18;Naive Bayes;no feature selection;no resample;44.00;109.00;253.00;33.00;0.29;0.57;0.70;0.19
BOOKKEEPER;3;0.69;0.22;0.27;Naive Bayes;no feature selection;no resample;1.00;1.00;321.00;117.00;0.50;0.01;0.55;0.01
BOOKKEEPER;4;0.76;0.24;0.32;Naive Bayes;no feature selection;no resample;12.00;1.00;302.00;131.00;0.92;0.08;0.83;0.11
BOOKKEEPER;5;0.81;0.26;0.32;Naive Bayes;no feature selection;no resample;69.00;28.00;280.00;75.00;0.71;0.48;0.77;0.43
BOOKKEEPER;6;0.77;0.27;0.08;Naive Bayes;no feature selection;no resample;19.00;62.00;574.00;34.00;0.23;0.36;0.74;0.21
BOOKKEEPER;7;0.81;0.22;0.04;Naive Bayes;no feature selection;no resample;2.00;1.00;662.00;28.00;0.67;0.07;0.77;0.11
BOOKKEEPER;8;0.84;0.19;0.07;Naive Bayes;no feature selection;no resample;2.00;84.00;566.00;44.00;0.02;0.04;0.70;-0.06
BOOKKEEPER;9;0.93;0.17;0.09;Naive Bayes;no feature selection;no resample;7.00;9.00;299.00;22.00;0.44;0.24;0.88;0.27
MEAN;;;;;;;;20.56;41.67;379.11;57.89;0.45;0.25;0.71;0.15
;
BOOKKEEPER;1;0.53;0.50;0.22;Naive Bayes;no feature selection;Oversampling;56.00;233.00;2.00;10.00;0.19;0.85;0.56;-0.06
BOOKKEEPER;2;0.65;0.50;0.18;Naive Bayes;no feature selection;Oversampling;47.00;116.00;246.00;30.00;0.29;0.61;0.69;0.20
BOOKKEEPER;3;0.78;0.50;0.27;Naive Bayes;no feature selection;Oversampling;1.00;0.00;322.00;117.00;1.00;0.01;0.76;0.01
BOOKKEEPER;4;0.83;0.50;0.32;Naive Bayes;no feature selection;Oversampling;50.00;7.00;296.00;93.00;0.88;0.35;0.84;0.39
BOOKKEEPER;5;0.86;0.50;0.32;Naive Bayes;no feature selection;Oversampling;72.00;28.00;280.00;72.00;0.72;0.50;0.76;0.45
BOOKKEEPER;6;0.83;0.50;0.08;Naive Bayes;no feature selection;Oversampling;20.00;62.00;574.00;33.00;0.24;0.38;0.74;0.22
BOOKKEEPER;7;0.87;0.50;0.04;Naive Bayes;no feature selection;Oversampling;4.00;8.00;655.00;26.00;0.33;0.13;0.76;0.17
BOOKKEEPER;8;0.90;0.50;0.07;Naive Bayes;no feature selection;Oversampling;3.00;86.00;564.00;43.00;0.03;0.07;0.70;-0.05
BOOKKEEPER;9;0.96;0.50;0.09;Naive Bayes;no feature selection;Oversampling;9.00;12.00;296.00;20.00;0.43;0.31;0.88;0.31
MEAN;;;;;;;;29.11;61.33;359.44;49.33;0.46;0.36;0.74;0.18
;
BOOKKEEPER;1;0.33;0.50;0.22;Naive Bayes;no feature selection;Undersampling;59.00;234.00;1.00;7.00;0.20;0.89;0.53;-0.05
BOOKKEEPER;2;0.39;0.50;0.18;Naive Bayes;no feature selection;Undersampling;49.00;103.00;259.00;28.00;0.32;0.64;0.73;0.25
BOOKKEEPER;3;0.50;0.50;0.27;Naive Bayes;no feature selection;Undersampling;1.00;2.00;320.00;117.00;0.33;0.01;0.56;0.00
BOOKKEEPER;4;0.60;0.50;0.32;Naive Bayes;no feature selection;Undersampling;54.00;6.00;297.00;89.00;0.90;0.38;0.82;0.42
BOOKKEEPER;5;0.68;0.50;0.32;Naive Bayes;no feature selection;Undersampling;52.00;13.00;295.00;92.00;0.80;0.36;0.83;0.37
BOOKKEEPER;6;0.64;0.50;0.08;Naive Bayes;no feature selection;Undersampling;18.00;62.00;574.00;35.00;0.23;0.34;0.74;0.20
BOOKKEEPER;7;0.66;0.50;0.04;Naive Bayes;no feature selection;Undersampling;1.00;0.00;663.00;29.00;1.00;0.03;0.76;0.06
BOOKKEEPER;8;0.67;0.50;0.07;Naive Bayes;no feature selection;Undersampling;3.00;53.00;597.00;43.00;0.05;0.07;0.70;-0.01
BOOKKEEPER;9;0.82;0.50;0.09;Naive Bayes;no feature selection;Undersampling;9.00;12.00;296.00;20.00;0.43;0.31;0.88;0.31
MEAN;;;;;;;;27.33;53.89;366.89;51.11;0.47;0.34;0.73;0.17
;
BOOKKEEPER;1;0.53;0.50;0.22;Naive Bayes;no feature selection;Smote;56.00;233.00;2.00;10.00;0.19;0.85;0.52;-0.06
BOOKKEEPER;2;0.65;0.50;0.18;Naive Bayes;no feature selection;Smote;48.00;117.00;245.00;29.00;0.29;0.62;0.71;0.21
BOOKKEEPER;3;0.78;0.50;0.27;Naive Bayes;no feature selection;Smote;3.00;1.00;321.00;115.00;0.75;0.03;0.52;0.03
BOOKKEEPER;4;0.83;0.50;0.32;Naive Bayes;no feature selection;Smote;26.00;4.00;299.00;117.00;0.87;0.18;0.85;0.21
BOOKKEEPER;5;0.86;0.50;0.32;Naive Bayes;no feature selection;Smote;76.00;32.00;276.00;68.00;0.70;0.53;0.77;0.45
BOOKKEEPER;6;0.83;0.50;0.08;Naive Bayes;no feature selection;Smote;21.00;63.00;573.00;32.00;0.25;0.40;0.73;0.23
