Progetto;#Training Release;%Training;%Buggy in training;%Buggy in test;Classifier;Feature selection;Balancing;TP;FP;TN;FN;Precision;Recall;Area Under ROC;Kappa
BOOKKEEPER;4;0.83;0.50;0.32;IBk;no feature selection;Smote;80.00;66.00;237.00;63.00;0.55;0.56;0.73;0.34
BOOKKEEPER;5;0.86;0.50;0.32;IBk;no feature selection;Smote;75.00;62.00;246.00;69.00;0.55;0.52;0.72;0.32
BOOKKEEPER;6;0.83;0.50;0.08;IBk;no feature selection;Smote;31.00;181.00;455.00;22.00;0.15;0.58;0.69;0.13
BOOKKEEPER;7;0.87;0.50;0.04;IBk;no feature selection;Smote;11.00;110.00;553.00;19.00;0.09;0.37;0.75;0.08
BOOKKEEPER;8;0.90;0.50;0.07;IBk;no feature selection;Smote;16.00;148.00;502.00;30.00;0.10;0.35;0.69;0.05
BOOKKEEPER;9;0.96;0.50;0.09;IBk;no feature selection;Smote;17.00;95.00;213.00;12.00;0.15;0.59;0.67;0.12
MEAN;;;;;;;;39.11;102.89;317.89;39.33;0.29;0.49;0.69;0.17
;
BOOKKEEPER;1;0.44;0.30;0.22;IBk;Best First;no resample;28.00;36.00;199.00;38.00;0.44;0.42;0.68;0.27
BOOKKEEPER;2;0.55;0.26;0.18;IBk;Best First;no resample;41.00;87.00;275.00;36.00;0.32;0.53;0.66;0.23
BOOKKEEPER;3;0.69;0.22;0.27;IBk;Best First;no resample;59.00;36.00;286.00;59.00;0.62;0.50;0.73;0.41
BOOKKEEPER;4;0.76;0.24;0.32;IBk;Best First;no resample;60.00;16.00;287.00;83.00;0.79;0.42;0.72;0.42
BOOKKEEPER;5;0.81;0.26;0.32;IBk;Best First;no resample;72.00;12.00;296.00;72.00;0.86;0.50;0.87;0.52
BOOKKEEPER;6;0.77;0.27;0.08;IBk;Best First;no resample;38.00;168.00;468.00;15.00;0.18;0.72;0.75;0.19
BOOKKEEPER;7;0.81;0.22;0.04;IBk;Best First;no resample;13.00;37.00;626.00;17.00;0.26;0.43;0.78;0.29
BOOKKEEPER;8;0.84;0.19;0.07;IBk;Best First;no resample;16.00;44.00;606.00;30.00;0.27;0.35;0.77;0.25
BOOKKEEPER;9;0.93;0.17;0.09;IBk;Best First;no resample;12.00;45.00;263.00;17.00;0.21;0.41;0.70;0.19
MEAN;;;;;;;;37.67;53.44;367.33;40.78;0.44;0.48;0.74;0.31
;
BOOKKEEPER;1;0.53;0.50;0.22;IBk;Best First;Oversampling;33.00;60.00;175.00;33.00;0.35;0.50;0.63;0.21
BOOKKEEPER;2;0.65;0.50;0.18;IBk;Best First;Oversampling;48.00;111.00;251.00;29.00;0.30;0.62;0.69;0.22
BOOKKEEPER;3;0.78;0.50;0.27;IBk;Best First;Oversampling;72.00;77.00;245.00;46.00;0.48;0.61;0.74;0.34
BOOKKEEPER;4;0.83;0.50;0.32;IBk;Best First;Oversampling;73.00;36.00;267.00;70.00;0.67;0.51;0.69;0.42
BOOKKEEPER;5;0.86;0.50;0.32;IBk;Best First;Oversampling;99.00;33.00;275.00;45.00;0.75;0.69;0.87;0.59
BOOKKEEPER;6;0.83;0.50;0.08;IBk;Best First;Oversampling;39.00;242.00;394.00;14.00;0.14;0.74;0.71;0.12
BOOKKEEPER;7;0.87;0.50;0.04;IBk;Best First;Oversampling;15.00;64.00;599.00;15.00;0.19;0.50;0.77;0.23
BOOKKEEPER;8;0.90;0.50;0.07;IBk;Best First;Oversampling;18.00;46.00;604.00;28.00;0.28;0.39;0.70;0.27
BOOKKEEPER;9;0.96;0.50;0.09;IBk;Best First;Oversampling;13.00;54.00;254.00;16.00;0.19;0.45;0.65;0.17
MEAN;;;;;;;;45.56;80.33;340.44;32.89;0.37;0.56;0.72;0.29
;
BOOKKEEPER;1;0.33;0.50;0.22;IBk;Best First;Undersampling;39.00;62.00;173.00;27.00;0.39;0.59;0.66;0.27
BOOKKEEPER;2;0.39;0.50;0.18;IBk;Best First;Undersampling;55.00;144.00;218.00;22.00;0.28;0.71;0.66;0.19
BOOKKEEPER;3;0.50;0.50;0.27;IBk;Best First;Undersampling;87.00;72.00;250.00;31.00;0.55;0.74;0.80;0.46
BOOKKEEPER;4;0.60;0.50;0.32;IBk;Best First;Undersampling;89.00;62.00;241.00;54.00;0.59;0.62;0.74;0.41
BOOKKEEPER;5;0.68;0.50;0.32;IBk;Best First;Undersampling;99.00;32.00;276.00;45.00;0.76;0.69;0.88;0.60
BOOKKEEPER;6;0.64;0.50;0.08;IBk;Best First;Undersampling;41.00;255.00;381.00;12.00;0.14;0.77;0.68;0.12
BOOKKEEPER;7;0.66;0.50;0.04;IBk;Best First;Undersampling;21.00;96.00;567.00;9.00;0.18;0.70;0.84;0.23
BOOKKEEPER;8;0.67;0.50;0.07;IBk;Best First;Undersampling;28.00;108.00;542.00;18.00;0.21;0.61;0.76;0.23
BOOKKEEPER;9;0.82;0.50;0.09;IBk;Best First;Undersampling;18.00;78.00;230.00;11.00;0.19;0.62;0.70;0.18
MEAN;;;;;;;;53.00;101.00;319.78;25.44;0.36;0.67;0.75;0.30
;
BOOKKEEPER;1;0.53;0.50;0.22;IBk;Best First;Smote;30.00;45.00;190.00;36.00;0.40;0.45;0.67;0.25
BOOKKEEPER;2;0.65;0.50;0.18;IBk;Best First;Smote;45.00;93.00;269.00;32.00;0.33;0.58;0.68;0.25
BOOKKEEPER;3;0.78;0.50;0.27;IBk;Best First;Smote;75.00;55.00;267.00;43.00;0.58;0.64;0.76;0.45
BOOKKEEPER;4;0.83;0.50;0.32;IBk;Best First;Smote;79.00;58.00;245.00;64.00;0.58;0.55;0.73;0.37
BOOKKEEPER;5;0.86;0.50;0.32;IBk;Best First;Smote;108.00;56.00;252.00;36.00;0.66;0.75;0.83;0.55
BOOKKEEPER;6;0.83;0.50;0.08;IBk;Best First;Smote;45.00;216.00;420.00;8.00;0.17;0.85;0.76;0.18
BOOKKEEPER;7;0.87;0.50;0.04;IBk;Best First;Smote;15.00;100.00;563.00;15.00;0.13;0.50;0.79;0.15
BOOKKEEPER;8;0.90;0.50;0.07;IBk;Best First;Smote;19.00;103.00;547.00;27.00;0.16;0.41;0.75;0.14
BOOKKEEPER;9;0.96;0.50;0.09;IBk;Best First;Smote;14.00;91.00;217.00;15.00;0.13;0.48;0.64;0.09
MEAN;;;;;;;;47.78;90.78;330.00;30.67;0.35;0.58;0.73;0.27
;
