Progetto;#Training Release;%Training;%Buggy in training;%Buggy in test;Classifier;Feature selection;Sensitivity;Balancing;TP;FP;TN;FN;Precision;Recall;Area Under ROC;Kappa
BOOKKEEPER;2;0.65;0.50;0.18;Random Forest;no feature selection;threshold;Oversampling;16.00;17.00;345.00;61.00;0.48;0.21;0.58;0.21
BOOKKEEPER;3;0.78;0.50;0.27;Random Forest;no feature selection;threshold;Oversampling;6.00;10.00;312.00;112.00;0.38;0.05;0.51;0.03
BOOKKEEPER;4;0.83;0.50;0.46;Random Forest;no feature selection;threshold;Oversampling;91.00;3.00;238.00;114.00;0.97;0.44;0.72;0.45
BOOKKEEPER;5;0.85;0.50;0.46;Random Forest;no feature selection;threshold;Oversampling;194.00;14.00;230.00;14.00;0.93;0.93;0.94;0.88
BOOKKEEPER;6;0.82;0.50;0.10;Random Forest;no feature selection;threshold;Oversampling;47.00;150.00;467.00;25.00;0.24;0.65;0.70;0.23
BOOKKEEPER;7;0.86;0.50;0.08;Random Forest;no feature selection;threshold;Oversampling;1.00;19.00;621.00;52.00;0.05;0.02;0.49;-0.02
BOOKKEEPER;8;0.89;0.50;0.09;Random Forest;no feature selection;threshold;Oversampling;29.00;99.00;531.00;37.00;0.23;0.44;0.64;0.20
BOOKKEEPER;9;0.95;0.50;0.09;Random Forest;no feature selection;threshold;Oversampling;1.00;4.00;304.00;28.00;0.20;0.03;0.51;0.03
MEAN;;;;;;;;46.11;38.89;361.00;53.22;0.44;0.36;0.64;0.26
;
BOOKKEEPER;1;0.53;0.50;0.22;Random Forest;no feature selection;sensitive learning;Oversampling;25.00;25.00;210.00;41.00;0.50;0.38;0.67;0.30
BOOKKEEPER;2;0.65;0.50;0.18;Random Forest;no feature selection;sensitive learning;Oversampling;40.00;54.00;308.00;37.00;0.43;0.52;0.77;0.34
BOOKKEEPER;3;0.78;0.50;0.27;Random Forest;no feature selection;sensitive learning;Oversampling;25.00;31.00;291.00;93.00;0.45;0.21;0.81;0.14
BOOKKEEPER;4;0.83;0.50;0.46;Random Forest;no feature selection;sensitive learning;Oversampling;137.00;8.00;233.00;68.00;0.94;0.67;0.87;0.65
BOOKKEEPER;5;0.85;0.50;0.46;Random Forest;no feature selection;sensitive learning;Oversampling;194.00;9.00;235.00;14.00;0.96;0.93;0.98;0.90
BOOKKEEPER;6;0.82;0.50;0.10;Random Forest;no feature selection;sensitive learning;Oversampling;50.00;164.00;453.00;22.00;0.23;0.69;0.77;0.23
BOOKKEEPER;7;0.86;0.50;0.08;Random Forest;no feature selection;sensitive learning;Oversampling;2.00;26.00;614.00;51.00;0.07;0.04;0.79;-0.00
BOOKKEEPER;8;0.89;0.50;0.09;Random Forest;no feature selection;sensitive learning;Oversampling;48.00;146.00;484.00;18.00;0.25;0.73;0.81;0.27
BOOKKEEPER;9;0.95;0.50;0.09;Random Forest;no feature selection;sensitive learning;Oversampling;16.00;33.00;275.00;13.00;0.33;0.55;0.81;0.34
MEAN;;;;;;;;59.67;55.11;344.78;39.67;0.46;0.52;0.81;0.35
;
BOOKKEEPER;1;0.33;0.50;0.22;Random Forest;no feature selection;no sensitive;Undersampling;20.00;10.00;225.00;46.00;0.67;0.30;0.73;0.32
BOOKKEEPER;2;0.39;0.50;0.18;Random Forest;no feature selection;no sensitive;Undersampling;32.00;45.00;317.00;45.00;0.42;0.42;0.76;0.29
BOOKKEEPER;3;0.50;0.50;0.27;Random Forest;no feature selection;no sensitive;Undersampling;8.00;10.00;312.00;110.00;0.44;0.07;0.79;0.05
BOOKKEEPER;4;0.60;0.50;0.46;Random Forest;no feature selection;no sensitive;Undersampling;129.00;3.00;238.00;76.00;0.98;0.63;0.87;0.63
BOOKKEEPER;5;0.70;0.50;0.46;Random Forest;no feature selection;no sensitive;Undersampling;196.00;16.00;228.00;12.00;0.92;0.94;0.98;0.88
