@relation SYNCOPE_TempDataset

@attribute VersionID numeric
@attribute Size numeric
@attribute LOC_Touched numeric
@attribute AVGLocAdded numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute ChgSetSize numeric
@attribute MaxChgSetSize numeric
@attribute AVGChgSetSize numeric
@attribute NumRevisions numeric
@attribute NumBugFixed numeric
@attribute NAuth numeric
@attribute Age numeric
@attribute Buggyness {false,true}

@data
1,62,0,0,0,0,0,0,0,0,0,0,0,false
1,143,456,38,228,40,1097,394,182,6,0,3,0,false
1,65,0,0,0,0,0,0,0,0,0,0,0,false
1,94,0,0,0,0,0,0,0,0,0,0,0,false
1,11,0,0,0,0,0,0,0,0,0,0,0,false
1,7,0,0,0,0,0,0,0,0,0,0,0,false
1,21,0,0,0,0,0,0,0,0,0,0,0,false
1,11,0,0,0,0,0,0,0,0,0,0,0,false
1,11,0,0,0,0,0,0,0,0,0,0,0,false
1,38,0,0,0,0,0,0,0,0,0,0,0,false
1,135,0,0,0,0,0,0,0,0,0,0,0,false
1,50,0,0,0,0,0,0,0,0,0,0,0,false
1,49,12,2,6,2,525,407,175,3,0,2,0,false
1,14,30,5,17,7,853,407,284,3,0,2,0,false
1,90,201,21,107,41,933,407,186,5,0,2,0,false
1,58,0,0,0,0,0,0,0,0,0,0,0,false
1,20,0,0,0,0,0,0,0,0,0,0,0,false
1,6,0,0,0,0,0,0,0,0,0,0,0,false
1,61,0,0,0,0,0,0,0,0,0,0,0,false
1,70,0,0,0,0,0,0,0,0,0,0,0,false
1,46,0,0,0,0,0,0,0,0,0,0,0,false
1,25,0,0,0,0,0,0,0,0,0,0,0,false
1,141,0,0,0,0,0,0,0,0,0,0,0,false
1,14,0,0,0,0,0,0,0,0,0,0,0,false
1,9,0,0,0,0,0,0,0,0,0,0,0,false
1,92,260,18,130,31,1773,407,161,11,0,3,0,false
1,49,0,0,0,0,0,0,0,0,0,0,0,false
1,22,0,0,0,0,0,0,0,0,0,0,0,false
1,45,0,0,0,0,0,0,0,0,0,0,0,false
1,19,0,0,0,0,0,0,0,0,0,0,0,false
1,52,0,0,0,0,0,0,0,0,0,0,0,false
1,100,6,1,3,1,525,407,175,3,0,2,0,false
1,42,6,1,3,1,525,407,175,3,0,2,0,false
1,18,0,0,0,0,0,0,0,0,0,0,0,false
1,20,0,0,0,0,0,0,0,0,0,0,0,false
1,35,182,8,91,21,1773,407,161,11,0,3,0,false
1,96,0,0,0,0,0,0,0,0,0,0,0,false
1,62,30,10,20,10,450,407,150,3,0,2,0,false
1,22,0,0,0,0,0,0,0,0,0,0,0,false
1,24,0,0,0,0,0,0,0,0,0,0,0,false
