VersionID,VersionName,Path,Size,LOC_Touched,AVGLocAdded,LocAdded,MaxLocAdded,ChgSetSize,MaxChgSetSize,AVGChgSetSize,NumRevisions,NumBugFixed,NAuth,Age,Buggyness
1,4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,87,0,0.0,0,0,0,0,0,0,0,0,0,false
1,4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,182,0,0.0,0,0,0,0,0,0,0,0,0,false
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,722,0,0.0,0,0,0,0,0,0,0,0,0,true
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,58,0,0.0,0,0,0,0,0,0,0,0,0,true
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,125,0,0.0,0,0,0,0,0,0,0,0,0,false
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,329,0,0.0,0,0,0,0,0,0,0,0,0,true
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,125,0,0.0,0,0,0,0,0,0,0,0,0,true
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,437,0,0.0,0,0,0,0,0,0,0,0,0,true
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,95,0,0.0,0,0,0,0,0,0,0,0,0,true
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,128,0,0.0,0,0,0,0,0,0,0,0,0,false
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,83,0,0.0,0,0,0,0,0,0,0,0,0,false
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,29,0,0.0,0,0,0,0,0,0,0,0,0,false
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,208,0,0.0,0,0,0,0,0,0,0,0,0,true
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,189,0,0.0,0,0,0,0,0,0,0,0,0,false
