VersionID;VersionName;Path;Size;LOC_Touched;AVGLocAdded;LocAdded;MaxLocAdded;Churn;MaxChurn;ChgSetSize;MaxChgSetSize;AVGChgSetSize;NumRevisions;NumBugFixed;NAuth;Age;Buggyness
1;4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java;321;0;0.0;0;0;0;0;0;0;0;0;0;0;0;true
1;4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java;109;0;0.0;0;0;0;0;0;0;0;0;0;0;0;false
1;4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java;20;0;0.0;0;0;0;0;0;0;0;0;0;0;0;true
1;4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java;55;0;0.0;0;0;0;0;0;0;0;0;0;0;0;false
1;4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java;126;0;0.0;0;0;0;0;0;0;0;0;0;0;0;true
1;4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java;58;0;0.0;0;0;0;0;0;0;0;0;0;0;0;true
1;4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java;301;0;0.0;0;0;0;0;0;0;0;0;0;0;0;true
1;4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java;59;0;0.0;0;0;0;0;0;0;0;0;0;0;0;false
1;4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java;363;0;0.0;0;0;0;0;0;0;0;0;0;0;0;false
1;4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java;391;0;0.0;0;0;0;0;0;0;0;0;0;0;0;true
1;4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java;106;0;0.0;0;0;0;0;0;0;0;0;0;0;0;false
1;4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java;104;0;0.0;0;0;0;0;0;0;0;0;0;0;0;false
1;4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java;84;0;0.0;0;0;0;0;0;0;0;0;0;0;0;false
1;4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java;39;0;0.0;0;0;0;0;0;0;0;0;0;0;0;false
1;4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java;170;0;0.0;0;0;0;0;0;0;0;0;0;0;0;true
1;4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java;22;0;0.0;0;0;0;0;0;0;0;0;0;0;0;false
1;4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java;10;0;0.0;0;0;0;0;0;0;0;0;0;0;0;false
1;4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java;41;0;0.0;0;0;0;0;0;0;0;0;0;0;0;false
1;4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java;15;0;0.0;0;0;0;0;0;0;0;0;0;0;0;false
1;4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java;25;0;0.0;0;0;0;0;0;0;0;0;0;0;0;false
1;4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java;37;0;0.0;0;0;0;0;0;0;0;0;0;0;0;false
1;4.0.0;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java;195;0;0.0;0;0;0;0;0;0;0;0;0;0;0;false
1;4.0.0;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java;57;0;0.0;0;0;0;0;0;0;0;0;0;0;0;true
1;4.0.0;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java;34;0;0.0;0;0;0;0;0;0;0;0;0;0;0;false
1;4.0.0;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java;368;0;0.0;0;0;0;0;0;0;0;0;0;0;0;true
1;4.0.0;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java;92;0;0.0;0;0;0;0;0;0;0;0;0;0;0;false
1;4.0.0;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java;219;0;0.0;0;0;0;0;0;0;0;0;0;0;0;true
