IBk	no feature selection	no sensitive	Oversampling	63.56	116.22	283.67	35.78	0.37	0.58	0.67	0.26
IBk	no feature selection	threshold	Oversampling	63.56	116.22	283.67	35.78	0.37	0.58	0.66	0.26
IBk	no feature selection	sensitive learning	Oversampling	63.56	116.22	283.67	35.78	0.37	0.58	0.67	0.26
IBk	no feature selection	no sensitive	Undersampling	74.44	146.67	253.22	24.89	0.35	0.68	0.69	0.26
IBk	no feature selection	threshold	Undersampling	74.44	146.67	253.22	24.89	0.35	0.68	0.67	0.26
IBk	no feature selection	sensitive learning	Undersampling	74.44	146.67	253.22	24.89	0.35	0.68	0.69	0.26
IBk	no feature selection	no sensitive	Smote	66.56	139.44	260.44	32.78	0.34	0.60	0.67	0.23
IBk	no feature selection	threshold	Smote	66.56	139.44	260.44	32.78	0.34	0.60	0.65	0.23
IBk	no feature selection	sensitive learning	Smote	66.56	139.44	260.44	32.78	0.34	0.60	0.67	0.23
IBk	Best First	no sensitive	no resample	63.44	82.89	317.00	35.89	0.47	0.58	0.72	0.36
IBk	Best First	threshold	no resample	63.44	82.89	317.00	35.89	0.47	0.58	0.70	0.36
IBk	Best First	sensitive learning	no resample	63.44	82.89	317.00	35.89	0.47	0.58	0.72	0.36
IBk	Best First	no sensitive	Oversampling	61.56	88.89	311.00	37.78	0.42	0.57	0.72	0.32
IBk	Best First	threshold	Oversampling	61.56	88.89	311.00	37.78	0.42	0.57	0.69	0.32
IBk	Best First	sensitive learning	Oversampling	61.56	88.89	311.00	37.78	0.42	0.57	0.72	0.32
IBk	Best First	no sensitive	Undersampling	75.00	115.89	284.00	24.33	0.42	0.70	0.72	0.35
IBk	Best First	threshold	Undersampling	75.00	115.89	284.00	24.33	0.42	0.70	0.72	0.35
IBk	Best First	sensitive learning	Undersampling	75.00	115.89	284.00	24.33	0.42	0.70	0.72	0.35
IBk	Best First	no sensitive	Smote	59.78	122.33	277.56	39.56	0.41	0.59	0.69	0.27
IBk	Best First	threshold	Smote	59.78	122.33	277.56	39.56	0.41	0.59	0.67	0.27
IBk	Best First	sensitive learning	Smote	59.78	122.33	277.56	39.56	0.41	0.59	0.69	0.27
