Progetto;#Training Release;%Training;%Buggy in training;%Buggy in test;Classifier;Feature selection;Sensitivity;Balancing;TP;FP;TN;FN;Precision;Recall;Area Under ROC;Kappa
SYNCOPE;14;0.74;0.50;0.70;Random Forest;Best First;no sensitive;Undersampling;502.00;136.00;91.00;32.00;0.79;0.94;0.86;0.39
SYNCOPE;15;0.81;0.50;0.04;Random Forest;Best First;no sensitive;Undersampling;32.00;612.00;117.00;0.00;0.05;1.00;0.68;0.02
SYNCOPE;16;0.86;0.50;0.03;Random Forest;Best First;no sensitive;Undersampling;3.00;9.00;536.00;12.00;0.25;0.20;0.82;0.20
SYNCOPE;17;0.81;0.50;0.72;Random Forest;Best First;no sensitive;Undersampling;42.00;1.00;213.00;507.00;0.98;0.08;0.66;0.04
SYNCOPE;18;0.85;0.50;0.62;Random Forest;Best First;no sensitive;Undersampling;53.00;104.00;189.00;417.00;0.34;0.11;0.47;-0.20
SYNCOPE;19;0.86;0.50;0.81;Random Forest;Best First;no sensitive;Undersampling;702.00;9.00;160.00;2.00;0.99;1.00;0.99;0.96
SYNCOPE;20;0.88;0.50;0.82;Random Forest;Best First;no sensitive;Undersampling;725.00;6.00;159.00;3.00;0.99;1.00;1.00;0.97
SYNCOPE;21;0.90;0.50;0.13;Random Forest;Best First;no sensitive;Undersampling;81.00;610.00;170.00;38.00;0.12;0.68;0.45;-0.03
SYNCOPE;22;0.90;0.50;0.99;Random Forest;Best First;no sensitive;Undersampling;889.00;13.00;0.00;0.00;0.99;1.00;0.27;0.00
SYNCOPE;23;0.92;0.50;0.99;Random Forest;Best First;no sensitive;Undersampling;890.00;0.00;5.00;9.00;1.00;0.99;1.00;0.52
SYNCOPE;24;0.93;0.50;1.00;Random Forest;Best First;no sensitive;Undersampling;907.00;4.00;0.00;0.00;1.00;1.00;0.99;0.00
SYNCOPE;25;0.94;0.50;0.03;Random Forest;Best First;no sensitive;Undersampling;21.00;888.00;1.00;2.00;0.02;0.91;0.44;-0.00
SYNCOPE;26;0.91;0.50;0.01;Random Forest;Best First;no sensitive;Undersampling;13.00;1375.00;50.00;0.00;0.01;1.00;0.54;0.00
SYNCOPE;27;0.90;0.50;0.01;Random Forest;Best First;no sensitive;Undersampling;0.00;104.00;1465.00;8.00;0.00;0.00;0.00;0.00
SYNCOPE;28;0.89;0.50;0.01;Random Forest;Best First;no sensitive;Undersampling;0.00;0.00;1657.00;25.00;0.00;0.00;0.00;0.00
SYNCOPE;29;0.89;0.50;0.07;Random Forest;Best First;no sensitive;Undersampling;0.00;6.00;1587.00;118.00;0.00;0.00;0.00;0.00
SYNCOPE;30;0.89;0.50;0.01;Random Forest;Best First;no sensitive;Undersampling;1.00;105.00;1632.00;13.00;0.01;0.07;0.51;0.00
MEAN;;;;;;;;;179.23;179.00;456.03;58.67;0.34;0.62;0.64;0.15
;;;;;;;;;;;;;;;;
SYNCOPE;1;0.01;0.50;0.00;Random Forest;Best First;threshold;Undersampling;0.00;0.00;547.00;2.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.01;0.50;0.00;Random Forest;Best First;threshold;Undersampling;2.00;117.00;430.00;0.00;0.02;1.00;0.89;0.03
SYNCOPE;3;0.02;0.50;0.00;Random Forest;Best First;threshold;Undersampling;2.00;63.00;485.00;0.00;0.03;1.00;0.94;0.05
SYNCOPE;4;0.03;0.50;0.01;Random Forest;Best First;threshold;Undersampling;4.00;73.00;472.00;1.00;0.05;0.80;0.83;0.08
SYNCOPE;5;0.04;0.50;0.13;Random Forest;Best First;threshold;Undersampling;36.00;77.00;403.00;36.00;0.32;0.50;0.67;0.27
SYNCOPE;6;0.23;0.50;0.07;Random Forest;Best First;threshold;Undersampling;31.00;170.00;350.00;8.00;0.15;0.79;0.73;0.16
SYNCOPE;7;0.31;0.50;0.07;Random Forest;Best First;threshold;Undersampling;25.00;47.00;473.00;14.00;0.35;0.64;0.78;0.40
SYNCOPE;8;0.31;0.50;0.04;Random Forest;Best First;threshold;Undersampling;0.00;0.00;708.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;9;0.41;0.50;0.05;Random Forest;Best First;threshold;Undersampling;0.00;0.00;532.00;26.00;0.00;0.00;0.00;0.00
SYNCOPE;10;0.37;0.50;0.04;Random Forest;Best First;threshold;Undersampling;2.00;25.00;681.00;28.00;0.07;0.07;0.52;0.03
SYNCOPE;11;0.40;0.50;0.04;Random Forest;Best First;threshold;Undersampling;1.00;11.00;701.00;26.00;0.08;0.04;0.51;0.03
SYNCOPE;12;0.42;0.50;0.48;Random Forest;Best First;threshold;Undersampling;70.00;12.00;377.00;284.00;0.85;0.20;0.58;0.17
SYNCOPE;13;0.63;0.50;0.62;Random Forest;Best First;threshold;Undersampling;69.00;9.00;274.00;396.00;0.88;0.15;0.56;0.09
SYNCOPE;14;0.74;0.50;0.70;Random Forest;Best First;threshold;Undersampling;490.00;91.00;136.00;44.00;0.84;0.92;0.76;0.55
SYNCOPE;15;0.81;0.50;0.04;Random Forest;Best First;threshold;Undersampling;32.00;533.00;196.00;0.00;0.06;1.00;0.63;0.03
SYNCOPE;16;0.86;0.50;0.03;Random Forest;Best First;threshold;Undersampling;0.00;0.00;545.00;15.00;0.00;0.00;0.00;0.00
SYNCOPE;17;0.81;0.50;0.72;Random Forest;Best First;threshold;Undersampling;5.00;0.00;214.00;544.00;1.00;0.01;0.50;0.01
SYNCOPE;18;0.85;0.50;0.62;Random Forest;Best First;threshold;Undersampling;5.00;21.00;272.00;465.00;0.19;0.01;0.47;-0.05
SYNCOPE;19;0.86;0.50;0.81;Random Forest;Best First;threshold;Undersampling;591.00;3.00;166.00;113.00;0.99;0.84;0.91;0.66
SYNCOPE;20;0.88;0.50;0.82;Random Forest;Best First;threshold;Undersampling;560.00;0.00;165.00;168.00;1.00;0.77;0.88;0.55
SYNCOPE;21;0.90;0.50;0.13;Random Forest;Best First;threshold;Undersampling;1.00;11.00;769.00;118.00;0.08;0.01;0.50;-0.01
SYNCOPE;22;0.90;0.50;0.99;Random Forest;Best First;threshold;Undersampling;242.00;13.00;0.00;647.00;0.95;0.27;0.14;-0.03
SYNCOPE;23;0.92;0.50;0.99;Random Forest;Best First;threshold;Undersampling;888.00;0.00;5.00;11.00;1.00;0.99;0.99;0.47
SYNCOPE;24;0.93;0.50;1.00;Random Forest;Best First;threshold;Undersampling;894.00;0.00;4.00;13.00;1.00;0.99;0.99;0.38
SYNCOPE;25;0.94;0.50;0.03;Random Forest;Best First;threshold;Undersampling;21.00;887.00;2.00;2.00;0.02;0.91;0.46;-0.00
SYNCOPE;26;0.91;0.50;0.01;Random Forest;Best First;threshold;Undersampling;0.00;2.00;1423.00;13.00;0.00;0.00;0.00;0.00
SYNCOPE;27;0.90;0.50;0.01;Random Forest;Best First;threshold;Undersampling;0.00;2.00;1567.00;8.00;0.00;0.00;0.00;0.00
SYNCOPE;28;0.89;0.50;0.01;Random Forest;Best First;threshold;Undersampling;0.00;0.00;1657.00;25.00;0.00;0.00;0.00;0.00
SYNCOPE;29;0.89;0.50;0.07;Random Forest;Best First;threshold;Undersampling;0.00;0.00;1593.00;118.00;0.00;0.00;0.00;0.00
SYNCOPE;30;0.89;0.50;0.01;Random Forest;Best First;threshold;Undersampling;0.00;0.00;1737.00;14.00;0.00;0.00;0.00;0.00
MEAN;;;;;;;;;132.37;72.23;562.80;105.53;0.33;0.40;0.48;0.13
;;;;;;;;;;;;;;;;
SYNCOPE;1;0.01;0.50;0.00;Random Forest;Best First;sensitive learning;Undersampling;0.00;0.00;547.00;2.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.01;0.50;0.00;Random Forest;Best First;sensitive learning;Undersampling;2.00;103.00;444.00;0.00;0.02;1.00;0.91;0.03
SYNCOPE;3;0.02;0.50;0.00;Random Forest;Best First;sensitive learning;Undersampling;2.00;40.00;508.00;0.00;0.05;1.00;0.96;0.08
SYNCOPE;4;0.03;0.50;0.01;Random Forest;Best First;sensitive learning;Undersampling;4.00;68.00;477.00;1.00;0.06;0.80;0.85;0.09
SYNCOPE;5;0.04;0.50;0.13;Random Forest;Best First;sensitive learning;Undersampling;36.00;77.00;403.00;36.00;0.32;0.50;0.80;0.27
SYNCOPE;6;0.23;0.50;0.07;Random Forest;Best First;sensitive learning;Undersampling;31.00;171.00;349.00;8.00;0.15;0.79;0.84;0.16
SYNCOPE;7;0.31;0.50;0.07;Random Forest;Best First;sensitive learning;Undersampling;34.00;137.00;383.00;5.00;0.20;0.87;0.90;0.24
SYNCOPE;8;0.31;0.50;0.04;Random Forest;Best First;sensitive learning;Undersampling;0.00;0.00;708.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;9;0.41;0.50;0.05;Random Forest;Best First;sensitive learning;Undersampling;3.00;5.00;527.00;23.00;0.38;0.12;0.85;0.16
SYNCOPE;10;0.37;0.50;0.04;Random Forest;Best First;sensitive learning;Undersampling;6.00;37.00;669.00;24.00;0.14;0.20;0.76;0.12
SYNCOPE;11;0.40;0.50;0.04;Random Forest;Best First;sensitive learning;Undersampling;3.00;23.00;689.00;24.00;0.12;0.11;0.77;0.08
SYNCOPE;12;0.42;0.50;0.48;Random Forest;Best First;sensitive learning;Undersampling;76.00;12.00;377.00;278.00;0.86;0.21;0.69;0.19
SYNCOPE;13;0.63;0.50;0.62;Random Forest;Best First;sensitive learning;Undersampling;57.00;8.00;275.00;408.00;0.88;0.12;0.59;0.07
SYNCOPE;14;0.74;0.50;0.70;Random Forest;Best First;sensitive learning;Undersampling;487.00;73.00;154.00;47.00;0.87;0.91;0.92;0.61
SYNCOPE;15;0.81;0.50;0.04;Random Forest;Best First;sensitive learning;Undersampling;32.00;513.00;216.00;0.00;0.06;1.00;0.68;0.03
SYNCOPE;16;0.86;0.50;0.03;Random Forest;Best First;sensitive learning;Undersampling;0.00;1.00;544.00;15.00;0.00;0.00;0.00;0.00
SYNCOPE;17;0.81;0.50;0.72;Random Forest;Best First;sensitive learning;Undersampling;1.00;0.00;214.00;548.00;1.00;0.00;0.62;0.00
SYNCOPE;18;0.85;0.50;0.62;Random Forest;Best First;sensitive learning;Undersampling;2.00;12.00;281.00;468.00;0.14;0.00;0.51;-0.03
SYNCOPE;19;0.86;0.50;0.81;Random Forest;Best First;sensitive learning;Undersampling;652.00;2.00;167.00;52.00;1.00;0.93;0.99;0.82
SYNCOPE;20;0.88;0.50;0.82;Random Forest;Best First;sensitive learning;Undersampling;701.00;0.00;165.00;27.00;1.00;0.96;1.00;0.91
SYNCOPE;21;0.90;0.50;0.13;Random Forest;Best First;sensitive learning;Undersampling;81.00;610.00;170.00;38.00;0.12;0.68;0.45;-0.03
SYNCOPE;22;0.90;0.50;0.99;Random Forest;Best First;sensitive learning;Undersampling;889.00;13.00;0.00;0.00;0.99;1.00;1.00;0.00
SYNCOPE;23;0.92;0.50;0.99;Random Forest;Best First;sensitive learning;Undersampling;888.00;0.00;5.00;11.00;1.00;0.99;1.00;0.47
SYNCOPE;24;0.93;0.50;1.00;Random Forest;Best First;sensitive learning;Undersampling;906.00;0.00;4.00;1.00;1.00;1.00;1.00;0.89
SYNCOPE;25;0.94;0.50;0.03;Random Forest;Best First;sensitive learning;Undersampling;23.00;889.00;0.00;0.00;0.03;1.00;0.44;0.00
SYNCOPE;26;0.91;0.50;0.01;Random Forest;Best First;sensitive learning;Undersampling;0.00;2.00;1423.00;13.00;0.00;0.00;0.00;0.00
SYNCOPE;27;0.90;0.50;0.01;Random Forest;Best First;sensitive learning;Undersampling;0.00;0.00;1569.00;8.00;0.00;0.00;0.00;0.00
SYNCOPE;28;0.89;0.50;0.01;Random Forest;Best First;sensitive learning;Undersampling;0.00;0.00;1657.00;25.00;0.00;0.00;0.00;0.00
SYNCOPE;29;0.89;0.50;0.07;Random Forest;Best First;sensitive learning;Undersampling;0.00;0.00;1593.00;118.00;0.00;0.00;0.00;0.00
SYNCOPE;30;0.89;0.50;0.01;Random Forest;Best First;sensitive learning;Undersampling;0.00;12.00;1725.00;14.00;0.00;0.00;0.00;0.00
MEAN;;;;;;;;;163.87;93.60;541.43;74.03;0.35;0.47;0.58;0.17
;;;;;;;;;;;;;;;;
SYNCOPE;1;0.50;0.01;0.00;Random Forest;Best First;no sensitive;Smote;0.00;0.00;547.00;2.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.67;0.01;0.00;Random Forest;Best First;no sensitive;Smote;1.00;0.00;547.00;1.00;1.00;0.50;1.00;0.67
SYNCOPE;3;0.75;0.01;0.00;Random Forest;Best First;no sensitive;Smote;1.00;1.00;547.00;1.00;0.50;0.50;1.00;0.50
SYNCOPE;4;0.80;0.01;0.01;Random Forest;Best First;no sensitive;Smote;2.00;2.00;543.00;3.00;0.50;0.40;0.70;0.44
SYNCOPE;5;0.83;0.01;0.13;Random Forest;Best First;no sensitive;Smote;3.00;1.00;479.00;69.00;0.75;0.04;0.59;0.07
SYNCOPE;6;0.86;0.05;0.07;Random Forest;Best First;no sensitive;Smote;9.00;22.00;498.00;30.00;0.29;0.23;0.58;0.21
SYNCOPE;7;0.88;0.06;0.07;Random Forest;Best First;no sensitive;Smote;7.00;7.00;513.00;32.00;0.50;0.18;0.80;0.24
SYNCOPE;8;0.86;0.07;0.04;Random Forest;Best First;no sensitive;Smote;0.00;0.00;708.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;9;0.91;0.07;0.05;Random Forest;Best First;no sensitive;Smote;2.00;4.00;528.00;24.00;0.33;0.08;0.82;0.11
SYNCOPE;10;0.89;0.07;0.04;Random Forest;Best First;no sensitive;Smote;2.00;9.00;697.00;28.00;0.18;0.07;0.54;0.08
SYNCOPE;11;0.90;0.07;0.04;Random Forest;Best First;no sensitive;Smote;1.00;6.00;706.00;26.00;0.14;0.04;0.75;0.04
SYNCOPE;12;0.91;0.07;0.48;Random Forest;Best First;no sensitive;Smote;12.00;0.00;389.00;342.00;1.00;0.03;0.67;0.04
SYNCOPE;13;0.92;0.15;0.62;Random Forest;Best First;no sensitive;Smote;103.00;13.00;270.00;362.00;0.89;0.22;0.82;0.14
SYNCOPE;14;0.93;0.22;0.70;Random Forest;Best First;no sensitive;Smote;473.00;56.00;171.00;61.00;0.89;0.89;0.91;0.64
SYNCOPE;15;0.94;0.29;0.04;Random Forest;Best First;no sensitive;Smote;32.00;534.00;195.00;0.00;0.06;1.00;0.68;0.03
SYNCOPE;16;0.95;0.28;0.03;Random Forest;Best First;no sensitive;Smote;0.00;0.00;545.00;15.00;0.00;0.00;0.00;0.00
SYNCOPE;17;0.94;0.27;0.72;Random Forest;Best First;no sensitive;Smote;29.00;1.00;213.00;520.00;0.97;0.05;0.59;0.03
SYNCOPE;18;0.95;0.32;0.62;Random Forest;Best First;no sensitive;Smote;49.00;55.00;238.00;421.00;0.47;0.10;0.71;-0.07
SYNCOPE;19;0.94;0.36;0.81;Random Forest;Best First;no sensitive;Smote;466.00;69.00;100.00;238.00;0.87;0.66;0.41;0.18
SYNCOPE;20;0.95;0.41;0.82;Random Forest;Best First;no sensitive;Smote;725.00;0.00;165.00;3.00;1.00;1.00;1.00;0.99
SYNCOPE;21;0.95;0.45;0.13;Random Forest;Best First;no sensitive;Smote;89.00;641.00;139.00;30.00;0.12;0.75;0.46;-0.02
SYNCOPE;22;0.96;0.44;0.99;Random Forest;Best First;no sensitive;Smote;889.00;13.00;0.00;0.00;0.99;1.00;1.00;0.00
SYNCOPE;23;0.96;0.49;0.99;Random Forest;Best First;no sensitive;Smote;890.00;0.00;5.00;9.00;1.00;0.99;0.99;0.52
SYNCOPE;24;0.96;0.53;1.00;Random Forest;Best First;no sensitive;Smote;895.00;4.00;0.00;12.00;1.00;0.99;0.99;-0.01
SYNCOPE;25;0.96;0.56;0.03;Random Forest;Best First;no sensitive;Smote;23.00;889.00;0.00;0.00;0.03;1.00;0.50;0.00
SYNCOPE;26;0.95;0.55;0.01;Random Forest;Best First;no sensitive;Smote;13.00;1368.00;57.00;0.00;0.01;1.00;0.53;0.00
SYNCOPE;27;0.94;0.52;0.01;Random Forest;Best First;no sensitive;Smote;0.00;108.00;1461.00;8.00;0.00;0.00;0.00;0.00
SYNCOPE;28;0.94;0.49;0.01;Random Forest;Best First;no sensitive;Smote;0.00;0.00;1657.00;25.00;0.00;0.00;0.00;0.00
SYNCOPE;29;0.95;0.46;0.07;Random Forest;Best First;no sensitive;Smote;0.00;6.00;1587.00;118.00;0.00;0.00;0.00;0.00
SYNCOPE;30;0.95;0.44;0.01;Random Forest;Best First;no sensitive;Smote;4.00;136.00;1601.00;10.00;0.03;0.29;0.60;0.04
MEAN;;;;;;;;;157.33;131.50;503.53;80.57;0.45;0.40;0.59;0.16
;;;;;;;;;;;;;;;;
SYNCOPE;1;0.50;0.01;0.00;Random Forest;Best First;threshold;Smote;0.00;0.00;547.00;2.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.67;0.01;0.00;Random Forest;Best First;threshold;Smote;0.00;0.00;547.00;2.00;0.00;0.00;0.00;0.00
SYNCOPE;3;0.75;0.01;0.00;Random Forest;Best First;threshold;Smote;1.00;1.00;547.00;1.00;0.50;0.50;0.75;0.50
SYNCOPE;4;0.80;0.01;0.01;Random Forest;Best First;threshold;Smote;0.00;0.00;545.00;5.00;0.00;0.00;0.00;0.00
SYNCOPE;5;0.83;0.01;0.13;Random Forest;Best First;threshold;Smote;1.00;0.00;480.00;71.00;1.00;0.01;0.51;0.02
SYNCOPE;6;0.86;0.05;0.07;Random Forest;Best First;threshold;Smote;2.00;1.00;519.00;37.00;0.67;0.05;0.52;0.09
SYNCOPE;7;0.88;0.06;0.07;Random Forest;Best First;threshold;Smote;3.00;2.00;518.00;36.00;0.60;0.08;0.54;0.12
SYNCOPE;8;0.86;0.07;0.04;Random Forest;Best First;threshold;Smote;0.00;0.00;708.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;9;0.91;0.07;0.05;Random Forest;Best First;threshold;Smote;0.00;0.00;532.00;26.00;0.00;0.00;0.00;0.00
SYNCOPE;10;0.89;0.07;0.04;Random Forest;Best First;threshold;Smote;2.00;7.00;699.00;28.00;0.22;0.07;0.53;0.09
SYNCOPE;11;0.90;0.07;0.04;Random Forest;Best First;threshold;Smote;0.00;0.00;712.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;12;0.91;0.07;0.48;Random Forest;Best First;threshold;Smote;0.00;0.00;389.00;354.00;0.00;0.00;0.00;0.00
SYNCOPE;13;0.92;0.15;0.62;Random Forest;Best First;threshold;Smote;4.00;2.00;281.00;461.00;0.67;0.01;0.50;0.00
SYNCOPE;14;0.93;0.22;0.70;Random Forest;Best First;threshold;Smote;455.00;19.00;208.00;79.00;0.96;0.85;0.88;0.71
SYNCOPE;15;0.94;0.29;0.04;Random Forest;Best First;threshold;Smote;32.00;485.00;244.00;0.00;0.06;1.00;0.67;0.04
SYNCOPE;16;0.95;0.28;0.03;Random Forest;Best First;threshold;Smote;0.00;0.00;545.00;15.00;0.00;0.00;0.00;0.00
SYNCOPE;17;0.94;0.27;0.72;Random Forest;Best First;threshold;Smote;0.00;0.00;214.00;549.00;0.00;0.00;0.00;0.00
SYNCOPE;18;0.95;0.32;0.62;Random Forest;Best First;threshold;Smote;1.00;12.00;281.00;469.00;0.08;0.00;0.48;-0.03
SYNCOPE;19;0.94;0.36;0.81;Random Forest;Best First;threshold;Smote;447.00;69.00;100.00;257.00;0.87;0.63;0.61;0.16
SYNCOPE;20;0.95;0.41;0.82;Random Forest;Best First;threshold;Smote;518.00;0.00;165.00;210.00;1.00;0.71;0.86;0.48
SYNCOPE;21;0.95;0.45;0.13;Random Forest;Best First;threshold;Smote;86.00;626.00;154.00;33.00;0.12;0.72;0.46;-0.03
SYNCOPE;22;0.96;0.44;0.99;Random Forest;Best First;threshold;Smote;889.00;13.00;0.00;0.00;0.99;1.00;0.50;0.00
SYNCOPE;23;0.96;0.49;0.99;Random Forest;Best First;threshold;Smote;890.00;0.00;5.00;9.00;1.00;0.99;0.99;0.52
SYNCOPE;24;0.96;0.53;1.00;Random Forest;Best First;threshold;Smote;894.00;0.00;4.00;13.00;1.00;0.99;0.99;0.38
SYNCOPE;25;0.96;0.56;0.03;Random Forest;Best First;threshold;Smote;23.00;889.00;0.00;0.00;0.03;1.00;0.50;0.00
SYNCOPE;26;0.95;0.55;0.01;Random Forest;Best First;threshold;Smote;0.00;2.00;1423.00;13.00;0.00;0.00;0.00;0.00
SYNCOPE;27;0.94;0.52;0.01;Random Forest;Best First;threshold;Smote;0.00;0.00;1569.00;8.00;0.00;0.00;0.00;0.00
SYNCOPE;28;0.94;0.49;0.01;Random Forest;Best First;threshold;Smote;0.00;0.00;1657.00;25.00;0.00;0.00;0.00;0.00
SYNCOPE;29;0.95;0.46;0.07;Random Forest;Best First;threshold;Smote;0.00;0.00;1593.00;118.00;0.00;0.00;0.00;0.00
SYNCOPE;30;0.95;0.44;0.01;Random Forest;Best First;threshold;Smote;2.00;111.00;1626.00;12.00;0.02;0.14;0.54;0.02
MEAN;;;;;;;;;141.67;74.63;560.40;96.23;0.33;0.29;0.36;0.10
;;;;;;;;;;;;;;;;
SYNCOPE;1;0.50;0.01;0.00;Random Forest;Best First;sensitive learning;Smote;0.00;0.00;547.00;2.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.67;0.01;0.00;Random Forest;Best First;sensitive learning;Smote;0.00;0.00;547.00;2.00;0.00;0.00;0.00;0.00
SYNCOPE;3;0.75;0.01;0.00;Random Forest;Best First;sensitive learning;Smote;0.00;0.00;548.00;2.00;0.00;0.00;0.00;0.00
SYNCOPE;4;0.80;0.01;0.01;Random Forest;Best First;sensitive learning;Smote;0.00;0.00;545.00;5.00;0.00;0.00;0.00;0.00
SYNCOPE;5;0.83;0.01;0.13;Random Forest;Best First;sensitive learning;Smote;0.00;0.00;480.00;72.00;0.00;0.00;0.00;0.00
SYNCOPE;6;0.86;0.05;0.07;Random Forest;Best First;sensitive learning;Smote;0.00;0.00;520.00;39.00;0.00;0.00;0.00;0.00
SYNCOPE;7;0.88;0.06;0.07;Random Forest;Best First;sensitive learning;Smote;3.00;0.00;520.00;36.00;1.00;0.08;0.79;0.13
SYNCOPE;8;0.86;0.07;0.04;Random Forest;Best First;sensitive learning;Smote;0.00;0.00;708.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;9;0.91;0.07;0.05;Random Forest;Best First;sensitive learning;Smote;0.00;0.00;532.00;26.00;0.00;0.00;0.00;0.00
SYNCOPE;10;0.89;0.07;0.04;Random Forest;Best First;sensitive learning;Smote;0.00;2.00;704.00;30.00;0.00;0.00;0.00;0.00
SYNCOPE;11;0.90;0.07;0.04;Random Forest;Best First;sensitive learning;Smote;0.00;0.00;712.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;12;0.91;0.07;0.48;Random Forest;Best First;sensitive learning;Smote;0.00;0.00;389.00;354.00;0.00;0.00;0.00;0.00
SYNCOPE;13;0.92;0.15;0.62;Random Forest;Best First;sensitive learning;Smote;1.00;1.00;282.00;464.00;0.50;0.00;0.84;-0.00
SYNCOPE;14;0.93;0.22;0.70;Random Forest;Best First;sensitive learning;Smote;458.00;11.00;216.00;76.00;0.98;0.86;0.91;0.75
SYNCOPE;15;0.94;0.29;0.04;Random Forest;Best First;sensitive learning;Smote;32.00;485.00;244.00;0.00;0.06;1.00;0.69;0.04
SYNCOPE;16;0.95;0.28;0.03;Random Forest;Best First;sensitive learning;Smote;0.00;0.00;545.00;15.00;0.00;0.00;0.00;0.00
SYNCOPE;17;0.94;0.27;0.72;Random Forest;Best First;sensitive learning;Smote;0.00;0.00;214.00;549.00;0.00;0.00;0.00;0.00
SYNCOPE;18;0.95;0.32;0.62;Random Forest;Best First;sensitive learning;Smote;0.00;4.00;289.00;470.00;0.00;0.00;0.00;0.00
SYNCOPE;19;0.94;0.36;0.81;Random Forest;Best First;sensitive learning;Smote;466.00;1.00;168.00;238.00;1.00;0.66;0.68;0.43
SYNCOPE;20;0.95;0.41;0.82;Random Forest;Best First;sensitive learning;Smote;707.00;0.00;165.00;21.00;1.00;0.97;1.00;0.93
SYNCOPE;21;0.95;0.45;0.13;Random Forest;Best First;sensitive learning;Smote;86.00;623.00;157.00;33.00;0.12;0.72;0.44;-0.02
SYNCOPE;22;0.96;0.44;0.99;Random Forest;Best First;sensitive learning;Smote;889.00;13.00;0.00;0.00;0.99;1.00;1.00;0.00
SYNCOPE;23;0.96;0.49;0.99;Random Forest;Best First;sensitive learning;Smote;888.00;0.00;5.00;11.00;1.00;0.99;1.00;0.47
SYNCOPE;24;0.96;0.53;1.00;Random Forest;Best First;sensitive learning;Smote;906.00;0.00;4.00;1.00;1.00;1.00;1.00;0.89
SYNCOPE;25;0.96;0.56;0.03;Random Forest;Best First;sensitive learning;Smote;23.00;889.00;0.00;0.00;0.03;1.00;0.44;0.00
SYNCOPE;26;0.95;0.55;0.01;Random Forest;Best First;sensitive learning;Smote;0.00;6.00;1419.00;13.00;0.00;0.00;0.00;0.00
SYNCOPE;27;0.94;0.52;0.01;Random Forest;Best First;sensitive learning;Smote;0.00;0.00;1569.00;8.00;0.00;0.00;0.00;0.00
SYNCOPE;28;0.94;0.49;0.01;Random Forest;Best First;sensitive learning;Smote;0.00;0.00;1657.00;25.00;0.00;0.00;0.00;0.00
SYNCOPE;29;0.95;0.46;0.07;Random Forest;Best First;sensitive learning;Smote;0.00;0.00;1593.00;118.00;0.00;0.00;0.00;0.00
SYNCOPE;30;0.95;0.44;0.01;Random Forest;Best First;sensitive learning;Smote;1.00;111.00;1626.00;13.00;0.01;0.07;0.59;0.00
MEAN;;;;;;;;;148.67;71.53;563.50;89.23;0.26;0.28;0.31;0.12
;;;;;;;;;;;;;;;;
SYNCOPE;1;0.50;0.00;0.00;Naive Bayes;no feature selection;no sensitive;no resample;0.00;0.00;547.00;2.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.67;0.00;0.00;Naive Bayes;no feature selection;no sensitive;no resample;0.00;0.00;547.00;2.00;0.00;0.00;0.00;0.00
SYNCOPE;3;0.75;0.00;0.00;Naive Bayes;no feature selection;no sensitive;no resample;0.00;0.00;548.00;2.00;0.00;0.00;0.00;0.00
SYNCOPE;4;0.80;0.00;0.01;Naive Bayes;no feature selection;no sensitive;no resample;2.00;13.00;532.00;3.00;0.13;0.40;0.94;0.19
SYNCOPE;5;0.83;0.00;0.13;Naive Bayes;no feature selection;no sensitive;no resample;72.00;477.00;3.00;0.00;0.13;1.00;0.65;0.00
SYNCOPE;6;0.86;0.03;0.07;Naive Bayes;no feature selection;no sensitive;no resample;39.00;338.00;182.00;0.00;0.10;1.00;0.79;0.07
SYNCOPE;7;0.87;0.03;0.07;Naive Bayes;no feature selection;no sensitive;no resample;32.00;92.00;428.00;7.00;0.26;0.82;0.90;0.32
SYNCOPE;8;0.86;0.04;0.04;Naive Bayes;no feature selection;no sensitive;no resample;7.00;40.00;668.00;20.00;0.15;0.26;0.72;0.15
SYNCOPE;9;0.90;0.04;0.05;Naive Bayes;no feature selection;no sensitive;no resample;9.00;22.00;510.00;17.00;0.29;0.35;0.87;0.28
SYNCOPE;10;0.89;0.04;0.04;Naive Bayes;no feature selection;no sensitive;no resample;8.00;27.00;679.00;22.00;0.23;0.27;0.75;0.21
SYNCOPE;11;0.90;0.04;0.04;Naive Bayes;no feature selection;no sensitive;no resample;1.00;1.00;711.00;26.00;0.50;0.04;0.63;0.06
SYNCOPE;12;0.91;0.04;0.48;Naive Bayes;no feature selection;no sensitive;no resample;3.00;0.00;389.00;351.00;1.00;0.01;0.55;0.01
SYNCOPE;13;0.91;0.08;0.62;Naive Bayes;no feature selection;no sensitive;no resample;262.00;2.00;281.00;203.00;0.99;0.56;0.73;0.49
