Progetto;#Training Release;%Training;%Buggy in training;%Buggy in test;Classifier;Feature selection;Sensitivity;Balancing;TP;FP;TN;FN;Precision;Recall;Area Under ROC;Kappa
SYNCOPE;11;0.90;0.04;0.04;Random Forest;no feature selection;threshold;no resample;0.00;0.00;712.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;12;0.91;0.04;0.48;Random Forest;no feature selection;threshold;no resample;0.00;0.00;389.00;354.00;0.00;0.00;0.00;0.00
SYNCOPE;13;0.91;0.08;0.62;Random Forest;no feature selection;threshold;no resample;0.00;0.00;283.00;465.00;0.00;0.00;0.00;0.00
SYNCOPE;14;0.92;0.13;0.70;Random Forest;no feature selection;threshold;no resample;450.00;9.00;218.00;84.00;0.98;0.84;0.90;0.73
SYNCOPE;15;0.93;0.17;0.04;Random Forest;no feature selection;threshold;no resample;32.00;488.00;241.00;0.00;0.06;1.00;0.67;0.04
SYNCOPE;16;0.95;0.16;0.03;Random Forest;no feature selection;threshold;no resample;0.00;0.00;545.00;15.00;0.00;0.00;0.00;0.00
SYNCOPE;17;0.93;0.16;0.72;Random Forest;no feature selection;threshold;no resample;0.00;0.00;214.00;549.00;0.00;0.00;0.00;0.00
SYNCOPE;18;0.94;0.19;0.62;Random Forest;no feature selection;threshold;no resample;0.00;0.00;293.00;470.00;0.00;0.00;0.00;0.00
SYNCOPE;19;0.93;0.22;0.81;Random Forest;no feature selection;threshold;no resample;0.00;0.00;169.00;704.00;0.00;0.00;0.00;0.00
SYNCOPE;20;0.94;0.26;0.82;Random Forest;no feature selection;threshold;no resample;0.00;0.00;165.00;728.00;0.00;0.00;0.00;0.00
SYNCOPE;21;0.94;0.29;0.13;Random Forest;no feature selection;threshold;no resample;2.00;17.00;763.00;117.00;0.11;0.02;0.50;-0.01
SYNCOPE;22;0.94;0.28;0.99;Random Forest;no feature selection;threshold;no resample;0.00;0.00;13.00;889.00;0.00;0.00;0.00;0.00
SYNCOPE;23;0.95;0.32;0.99;Random Forest;no feature selection;threshold;no resample;15.00;0.00;5.00;884.00;1.00;0.02;0.51;0.00
SYNCOPE;24;0.95;0.36;1.00;Random Forest;no feature selection;threshold;no resample;906.00;0.00;4.00;1.00;1.00;1.00;1.00;0.89
SYNCOPE;25;0.95;0.39;0.03;Random Forest;no feature selection;threshold;no resample;21.00;886.00;3.00;2.00;0.02;0.91;0.46;-0.00
SYNCOPE;26;0.93;0.37;0.01;Random Forest;no feature selection;threshold;no resample;0.00;0.00;1425.00;13.00;0.00;0.00;0.00;0.00
SYNCOPE;27;0.93;0.35;0.01;Random Forest;no feature selection;threshold;no resample;0.00;0.00;1569.00;8.00;0.00;0.00;0.00;0.00
SYNCOPE;28;0.93;0.32;0.01;Random Forest;no feature selection;threshold;no resample;0.00;0.00;1657.00;25.00;0.00;0.00;0.00;0.00
SYNCOPE;29;0.93;0.30;0.07;Random Forest;no feature selection;threshold;no resample;0.00;0.00;1593.00;118.00;0.00;0.00;0.00;0.00
SYNCOPE;30;0.93;0.29;0.01;Random Forest;no feature selection;threshold;no resample;4.00;173.00;1564.00;10.00;0.02;0.29;0.59;0.03
MEAN;;;;;;;;;47.67;52.43;582.60;190.23;0.11;0.14;0.15;0.06
;;;;;;;;;;;;;;;;
SYNCOPE;1;0.50;0.00;0.00;Random Forest;no feature selection;sensitive learning;no resample;0.00;0.00;547.00;2.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.67;0.00;0.00;Random Forest;no feature selection;sensitive learning;no resample;0.00;0.00;547.00;2.00;0.00;0.00;0.00;0.00
SYNCOPE;3;0.75;0.00;0.00;Random Forest;no feature selection;sensitive learning;no resample;0.00;0.00;548.00;2.00;0.00;0.00;0.00;0.00
