VersionID,VersionName,Path,Size,LOC_Touched,AVGLocAdded,LocAdded,MaxLocAdded,ChgSetSize,MaxChgSetSize,AVGChgSetSize,NumRevisions,NumBugFixed,NAuth,Age,Buggyness
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/ReportExecTO.java,15,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/ReportTO.java,112,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/ResourceTO.java,147,705,23.0,356,37,2234,451,148,15,0,3,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/RoleTO.java,107,96,21.0,63,31,920,451,306,3,0,2,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/SchedTaskTO.java,41,60,20.0,40,20,912,451,304,3,0,2,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/SchemaMappingTO.java,54,0,0.0,0,0,1732,451,144,12,0,3,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/SchemaTO.java,82,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/SyncPolicyTO.java,22,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/SyncTaskTO.java,60,30,5.0,15,5,943,451,314,3,0,2,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/TaskExecTO.java,11,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/TaskTO.java,61,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/UserRequestTO.java,48,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/UserTO.java,144,262,18.0,131,32,2004,451,182,11,0,3,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/VirtualSchemaTO.java,11,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/WorkflowDefinitionTO.java,19,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/WorkflowFormPropertyTO.java,82,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/to/WorkflowFormTO.java,100,6,1.0,3,1,560,442,186,3,0,2,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/util/AttributableOperations.java,256,152,9.0,77,23,1556,451,194,8,0,2,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/util/XMLSerializer.java,30,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/validation/SyncopeClientCompositeErrorException.java,61,27,5.0,16,7,899,451,299,3,0,2,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/validation/SyncopeClientErrorHandler.java,56,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/client/validation/SyncopeClientException.java,42,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/AbstractPolicySpec.java,7,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/AccountPolicySpec.java,90,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/AttributableType.java,6,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/AuditElements.java,173,24,3.0,12,4,977,451,244,4,0,2,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/AuditLoggerName.java,61,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/CipherAlgorithm.java,14,21,4.0,12,5,911,451,303,3,0,2,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/ConflictResolutionAction.java,7,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/ConnConfPropSchema.java,64,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/ConnConfProperty.java,35,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/ConnParameterType.java,12,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/ConnectorCapability.java,11,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/EntityViolationType.java,45,190,6.0,95,27,2235,451,149,15,0,3,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/IntMappingType.java,91,222,18.0,111,29,1270,451,211,6,0,3,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/PasswordPolicySpec.java,188,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/PolicyType.java,16,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/PropagationMode.java,5,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/PropagationOperation.java,6,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/PropagationTaskExecStatus.java,11,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/ReportExecExportFormat.java,7,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/ReportExecStatus.java,7,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/SchemaType.java,19,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/SyncPolicySpec.java,29,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/SyncopeClientExceptionType.java,69,12,1.0,6,1,1270,451,211,6,0,3,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/SyncopeLoggerLevel.java,39,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/SyncopeLoggerType.java,12,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/TraceLevel.java,7,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/UserRequestType.java,6,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/WorkflowFormPropertyType.java,8,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/main/java/org/apache/syncope/types/package-info.java,1,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,client/src/test/java/org/apache/syncope/client/test/JSONTest.java,86,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/SyncopeApplication.java,125,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/SyncopeRequestCycleListener.java,44,12,2.0,6,2,734,442,244,3,0,2,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/SyncopeSession.java,68,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/commons/Constants.java,38,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/commons/DateFormatROModel.java,24,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/commons/HttpResourceStream.java,119,0,0.0,0,0,0,0,0,0,0,0,0,false
1,1.0.0-incubating,console/src/main/java/org/apache/syncope/console/commons/MapChoiceRenderer.java,18,0,0.0,0,0,0,0,0,0,0,0,0,false
