@relation BOOKKEEPER_TempDataset

@attribute VersionID numeric
@attribute Size numeric
@attribute LOC_Touched numeric
@attribute AVGLocAdded numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute ChgSetSize numeric
@attribute MaxChgSetSize numeric
@attribute AVGChgSetSize numeric
@attribute NumRevisions numeric
@attribute NumBugFixed numeric
@attribute NAuth numeric
@attribute Age numeric
@attribute Buggyness {false,true}

@data
1,87,0,0,0,0,0,0,0,0,0,0,0,false
1,182,0,0,0,0,0,0,0,0,0,0,0,false
1,722,0,0,0,0,0,0,0,0,0,0,0,true
1,58,0,0,0,0,0,0,0,0,0,0,0,true
1,125,0,0,0,0,0,0,0,0,0,0,0,false
1,329,0,0,0,0,0,0,0,0,0,0,0,true
1,125,0,0,0,0,0,0,0,0,0,0,0,true
1,437,0,0,0,0,0,0,0,0,0,0,0,true
1,95,0,0,0,0,0,0,0,0,0,0,0,true
1,128,0,0,0,0,0,0,0,0,0,0,0,false
1,83,0,0,0,0,0,0,0,0,0,0,0,false
1,29,0,0,0,0,0,0,0,0,0,0,0,false
1,208,0,0,0,0,0,0,0,0,0,0,0,true
1,189,0,0,0,0,0,0,0,0,0,0,0,false
1,353,0,0,0,0,0,0,0,0,0,0,0,true
1,123,0,0,0,0,0,0,0,0,0,0,0,false
1,25,0,0,0,0,0,0,0,0,0,0,0,false
1,108,0,0,0,0,0,0,0,0,0,0,0,true
1,6,0,0,0,0,0,0,0,0,0,0,0,true
1,77,0,0,0,0,0,0,0,0,0,0,0,true
1,24,0,0,0,0,0,0,0,0,0,0,0,false
1,40,0,0,0,0,0,0,0,0,0,0,0,false
1,442,0,0,0,0,0,0,0,0,0,0,0,true
1,140,0,0,0,0,0,0,0,0,0,0,0,true
1,103,0,0,0,0,0,0,0,0,0,0,0,true
1,115,0,0,0,0,0,0,0,0,0,0,0,true
1,36,0,0,0,0,0,0,0,0,0,0,0,false
1,100,0,0,0,0,0,0,0,0,0,0,0,true
1,111,0,0,0,0,0,0,0,0,0,0,0,true
1,66,0,0,0,0,0,0,0,0,0,0,0,true
