Progetto;#Training Release;%Training;%Buggy in training;%Buggy in test;Classifier;Feature selection;Balancing;TP;FP;TN;FN;Precision;Recall;Area Under ROC;Kappa
SYNCOPE;30;0.97;0.50;0.00;Random Forest;Best First;Oversampling;0.00;0.00;915.00;0.00;1.00;1.00;0.00;0.00
SYNCOPE;31;0.95;0.50;0.01;Random Forest;Best First;Oversampling;0.00;0.00;1658.00;24.00;0.00;0.00;0.00;0.00
MEAN;;;;;;;;149.48;92.48;478.48;100.68;NaN;0.47;0.50;0.20
;
SYNCOPE;1;0.00;0.50;0.00;Random Forest;Best First;Undersampling;1.00;173.00;375.00;0.00;0.01;1.00;0.84;0.01
SYNCOPE;2;0.01;0.50;0.00;Random Forest;Best First;Undersampling;1.00;128.00;420.00;0.00;0.01;1.00;0.88;0.01
SYNCOPE;3;0.01;0.50;0.00;Random Forest;Best First;Undersampling;1.00;129.00;420.00;0.00;0.01;1.00;0.88;0.01
SYNCOPE;4;0.01;0.50;0.01;Random Forest;Best First;Undersampling;4.00;110.00;436.00;0.00;0.04;1.00;0.90;0.05
SYNCOPE;5;0.03;0.50;0.13;Random Forest;Best First;Undersampling;31.00;52.00;429.00;40.00;0.37;0.44;0.68;0.31
SYNCOPE;6;0.22;0.50;0.07;Random Forest;Best First;Undersampling;36.00;291.00;230.00;2.00;0.11;0.95;0.79;0.09
SYNCOPE;7;0.30;0.50;0.07;Random Forest;Best First;Undersampling;37.00;320.00;201.00;1.00;0.10;0.97;0.73;0.07
SYNCOPE;8;0.30;0.50;0.04;Random Forest;Best First;Undersampling;4.00;21.00;687.00;23.00;0.16;0.15;0.66;0.12
SYNCOPE;9;0.39;0.50;0.04;Random Forest;Best First;Undersampling;14.00;60.00;473.00;11.00;0.19;0.56;0.75;0.23
SYNCOPE;10;0.36;0.50;0.04;Random Forest;Best First;Undersampling;16.00;140.00;566.00;14.00;0.10;0.53;0.81;0.11
SYNCOPE;11;0.39;0.50;0.04;Random Forest;Best First;Undersampling;1.00;11.00;701.00;26.00;0.08;0.04;0.60;0.03
SYNCOPE;12;0.42;0.50;0.45;Random Forest;Best First;Undersampling;66.00;15.00;393.00;269.00;0.81;0.20;0.72;0.17
SYNCOPE;13;0.62;0.50;0.60;Random Forest;Best First;Undersampling;217.00;114.00;183.00;234.00;0.66;0.48;0.61;0.09
SYNCOPE;14;0.73;0.50;0.64;Random Forest;Best First;Undersampling;470.00;216.00;56.00;19.00;0.69;0.96;0.86;0.20
SYNCOPE;15;0.80;0.50;0.04;Random Forest;Best First;Undersampling;31.00;586.00;144.00;0.00;0.05;1.00;0.68;0.02
SYNCOPE;16;0.85;0.50;0.03;Random Forest;Best First;Undersampling;11.00;289.00;257.00;3.00;0.04;0.79;0.78;0.02
SYNCOPE;17;0.81;0.50;0.64;Random Forest;Best First;Undersampling;67.00;4.00;268.00;424.00;0.94;0.14;0.63;0.09
SYNCOPE;18;0.84;0.50;0.62;Random Forest;Best First;Undersampling;82.00;114.00;179.00;388.00;0.42;0.17;0.56;-0.18
SYNCOPE;19;0.85;0.50;0.81;Random Forest;Best First;Undersampling;515.00;23.00;146.00;189.00;0.96;0.73;0.92;0.43
SYNCOPE;20;0.88;0.50;0.82;Random Forest;Best First;Undersampling;668.00;0.00;165.00;60.00;1.00;0.92;1.00;0.80
SYNCOPE;21;0.90;0.50;0.13;Random Forest;Best First;Undersampling;87.00;623.00;158.00;31.00;0.12;0.74;0.49;-0.02
SYNCOPE;22;0.90;0.50;1.00;Random Forest;Best First;Undersampling;706.00;0.00;0.00;194.00;1.00;0.78;0.00;0.00
SYNCOPE;23;0.92;0.50;0.99;Random Forest;Best First;Undersampling;889.00;13.00;0.00;0.00;0.99;1.00;0.00;0.00
SYNCOPE;24;0.93;0.50;0.99;Random Forest;Best First;Undersampling;891.00;0.00;5.00;8.00;1.00;0.99;1.00;0.55
SYNCOPE;25;0.94;0.50;1.00;Random Forest;Best First;Undersampling;906.00;0.00;4.00;1.00;1.00;1.00;1.00;0.89
SYNCOPE;26;0.94;0.50;0.03;Random Forest;Best First;Undersampling;23.00;889.00;0.00;0.00;0.03;1.00;0.44;0.00
SYNCOPE;27;0.91;0.50;0.01;Random Forest;Best First;Undersampling;3.00;257.00;1169.00;9.00;0.01;0.25;0.51;0.01
SYNCOPE;28;0.94;0.50;0.00;Random Forest;Best First;Undersampling;0.00;0.00;914.00;0.00;1.00;1.00;0.00;0.00
SYNCOPE;29;0.91;0.50;0.00;Random Forest;Best First;Undersampling;0.00;12.00;1558.00;7.00;0.00;0.00;0.00;0.00
SYNCOPE;30;0.94;0.50;0.00;Random Forest;Best First;Undersampling;0.00;0.00;915.00;0.00;1.00;1.00;0.00;0.00
SYNCOPE;31;0.90;0.50;0.01;Random Forest;Best First;Undersampling;0.00;0.00;1658.00;24.00;0.00;0.00;0.00;0.00
MEAN;;;;;;;;186.39;148.06;422.90;63.77;0.42;0.67;0.60;0.13
;
SYNCOPE;1;0.50;0.00;0.00;Random Forest;Best First;smote;0.00;0.00;548.00;1.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.67;0.00;0.00;Random Forest;Best First;smote;0.00;0.00;548.00;1.00;0.00;0.00;0.00;0.00
SYNCOPE;3;0.75;0.00;0.00;Random Forest;Best First;smote;0.00;0.00;549.00;1.00;0.00;0.00;0.00;0.00
SYNCOPE;4;0.80;0.00;0.01;Random Forest;Best First;smote;1.00;1.00;545.00;3.00;0.50;0.25;0.62;0.33
SYNCOPE;5;0.83;0.00;0.13;Random Forest;Best First;smote;2.00;1.00;480.00;69.00;0.67;0.03;0.52;0.04
SYNCOPE;6;0.86;0.02;0.07;Random Forest;Best First;smote;14.00;32.00;489.00;24.00;0.30;0.37;0.76;0.28
SYNCOPE;7;0.87;0.03;0.07;Random Forest;Best First;smote;10.00;8.00;513.00;28.00;0.56;0.26;0.68;0.33
SYNCOPE;8;0.86;0.04;0.04;Random Forest;Best First;smote;5.00;23.00;685.00;22.00;0.18;0.19;0.72;0.15
SYNCOPE;9;0.90;0.04;0.04;Random Forest;Best First;smote;0.00;0.00;533.00;25.00;0.00;0.00;0.00;0.00
SYNCOPE;10;0.89;0.04;0.04;Random Forest;Best First;smote;8.00;12.00;694.00;22.00;0.40;0.27;0.86;0.30
SYNCOPE;11;0.90;0.04;0.04;Random Forest;Best First;smote;2.00;2.00;710.00;25.00;0.50;0.07;0.57;0.12
SYNCOPE;12;0.91;0.04;0.45;Random Forest;Best First;smote;1.00;1.00;407.00;334.00;0.50;0.00;0.49;0.00
SYNCOPE;13;0.91;0.08;0.60;Random Forest;Best First;smote;137.00;12.00;285.00;314.00;0.92;0.30;0.81;0.22
SYNCOPE;14;0.92;0.12;0.64;Random Forest;Best First;smote;426.00;53.00;219.00;63.00;0.89;0.87;0.91;0.67
SYNCOPE;15;0.93;0.16;0.04;Random Forest;Best First;smote;31.00;509.00;221.00;0.00;0.06;1.00;0.70;0.03
SYNCOPE;16;0.95;0.15;0.03;Random Forest;Best First;smote;3.00;4.00;542.00;11.00;0.43;0.21;0.83;0.27
SYNCOPE;17;0.93;0.15;0.64;Random Forest;Best First;smote;21.00;0.00;272.00;470.00;1.00;0.04;0.72;0.03
SYNCOPE;18;0.94;0.18;0.62;Random Forest;Best First;smote;0.00;4.00;289.00;470.00;0.00;0.00;0.00;0.00
SYNCOPE;19;0.93;0.21;0.81;Random Forest;Best First;smote;548.00;1.00;168.00;156.00;1.00;0.78;0.95;0.57
SYNCOPE;20;0.94;0.25;0.82;Random Forest;Best First;smote;695.00;0.00;165.00;33.00;1.00;0.95;0.99;0.89
SYNCOPE;21;0.94;0.28;0.13;Random Forest;Best First;smote;88.00;642.00;139.00;30.00;0.12;0.75;0.47;-0.02
SYNCOPE;22;0.94;0.27;1.00;Random Forest;Best First;smote;744.00;0.00;0.00;156.00;1.00;0.83;0.00;0.00
SYNCOPE;23;0.95;0.32;0.99;Random Forest;Best First;smote;889.00;13.00;0.00;0.00;0.99;1.00;0.00;0.00
SYNCOPE;24;0.95;0.35;0.99;Random Forest;Best First;smote;890.00;0.00;5.00;9.00;1.00;0.99;1.00;0.52
SYNCOPE;25;0.95;0.38;1.00;Random Forest;Best First;smote;906.00;0.00;4.00;1.00;1.00;1.00;1.00;0.89
SYNCOPE;26;0.95;0.41;0.03;Random Forest;Best First;smote;23.00;889.00;0.00;0.00;0.03;1.00;0.44;0.00
SYNCOPE;27;0.93;0.40;0.01;Random Forest;Best First;smote;0.00;2.00;1424.00;12.00;0.00;0.00;0.00;0.00
SYNCOPE;28;0.96;0.37;0.00;Random Forest;Best First;smote;0.00;0.00;914.00;0.00;1.00;1.00;0.00;0.00
SYNCOPE;29;0.93;0.35;0.00;Random Forest;Best First;smote;0.00;11.00;1559.00;7.00;0.00;0.00;0.00;0.00
SYNCOPE;30;0.96;0.33;0.00;Random Forest;Best First;smote;0.00;0.00;915.00;0.00;1.00;1.00;0.00;0.00
SYNCOPE;31;0.94;0.32;0.01;Random Forest;Best First;smote;0.00;0.00;1658.00;24.00;0.00;0.00;0.00;0.00
MEAN;;;;;;;;175.61;71.61;499.35;74.55;0.48;0.42;0.45;0.18
;
SYNCOPE;1;0.50;0.00;0.00;Naive Bayes;no feature selection;no resample;0.00;0.00;548.00;1.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.67;0.00;0.00;Naive Bayes;no feature selection;no resample;0.00;0.00;548.00;1.00;0.00;0.00;0.00;0.00
SYNCOPE;3;0.75;0.00;0.00;Naive Bayes;no feature selection;no resample;0.00;0.00;549.00;1.00;0.00;0.00;0.00;0.00
SYNCOPE;4;0.80;0.00;0.01;Naive Bayes;no feature selection;no resample;2.00;5.00;541.00;2.00;0.29;0.50;0.92;0.36
SYNCOPE;5;0.83;0.00;0.13;Naive Bayes;no feature selection;no resample;71.00;478.00;3.00;0.00;0.13;1.00;0.52;0.00
SYNCOPE;6;0.86;0.02;0.07;Naive Bayes;no feature selection;no resample;38.00;339.00;182.00;0.00;0.10;1.00;0.79;0.07
SYNCOPE;7;0.87;0.03;0.07;Naive Bayes;no feature selection;no resample;33.00;97.00;424.00;5.00;0.25;0.87;0.90;0.32
SYNCOPE;8;0.86;0.04;0.04;Naive Bayes;no feature selection;no resample;7.00;38.00;670.00;20.00;0.16;0.26;0.68;0.16
SYNCOPE;9;0.90;0.04;0.04;Naive Bayes;no feature selection;no resample;9.00;22.00;511.00;16.00;0.29;0.36;0.88;0.29
SYNCOPE;10;0.89;0.04;0.04;Naive Bayes;no feature selection;no resample;8.00;26.00;680.00;22.00;0.24;0.27;0.75;0.22
SYNCOPE;11;0.90;0.04;0.04;Naive Bayes;no feature selection;no resample;1.00;1.00;711.00;26.00;0.50;0.04;0.63;0.06
SYNCOPE;12;0.91;0.04;0.45;Naive Bayes;no feature selection;no resample;3.00;0.00;408.00;332.00;1.00;0.01;0.56;0.01
SYNCOPE;13;0.91;0.08;0.60;Naive Bayes;no feature selection;no resample;278.00;6.00;291.00;173.00;0.98;0.62;0.82;0.54
SYNCOPE;14;0.92;0.12;0.64;Naive Bayes;no feature selection;no resample;429.00;42.00;230.00;60.00;0.91;0.88;0.88;0.71
SYNCOPE;15;0.93;0.16;0.04;Naive Bayes;no feature selection;no resample;31.00;489.00;241.00;0.00;0.06;1.00;0.67;0.04
SYNCOPE;16;0.95;0.15;0.03;Naive Bayes;no feature selection;no resample;12.00;98.00;448.00;2.00;0.11;0.86;0.89;0.16
SYNCOPE;17;0.93;0.15;0.64;Naive Bayes;no feature selection;no resample;39.00;2.00;270.00;452.00;0.95;0.08;0.59;0.05
SYNCOPE;18;0.94;0.18;0.62;Naive Bayes;no feature selection;no resample;426.00;93.00;200.00;44.00;0.82;0.91;0.93;0.61
SYNCOPE;19;0.93;0.21;0.81;Naive Bayes;no feature selection;no resample;509.00;2.00;167.00;195.00;1.00;0.72;0.99;0.50
SYNCOPE;20;0.94;0.25;0.82;Naive Bayes;no feature selection;no resample;348.00;0.00;165.00;380.00;1.00;0.48;0.99;0.25
SYNCOPE;21;0.94;0.28;0.13;Naive Bayes;no feature selection;no resample;88.00;639.00;142.00;30.00;0.12;0.75;0.51;-0.02
SYNCOPE;22;0.94;0.27;1.00;Naive Bayes;no feature selection;no resample;222.00;0.00;0.00;678.00;1.00;0.25;0.00;0.00
SYNCOPE;23;0.95;0.32;0.99;Naive Bayes;no feature selection;no resample;887.00;0.00;13.00;2.00;1.00;1.00;1.00;0.93
SYNCOPE;24;0.95;0.35;0.99;Naive Bayes;no feature selection;no resample;891.00;0.00;5.00;8.00;1.00;0.99;0.99;0.55
SYNCOPE;25;0.95;0.38;1.00;Naive Bayes;no feature selection;no resample;906.00;0.00;4.00;1.00;1.00;1.00;1.00;0.89
SYNCOPE;26;0.95;0.41;0.03;Naive Bayes;no feature selection;no resample;23.00;889.00;0.00;0.00;0.03;1.00;0.44;0.00
SYNCOPE;27;0.93;0.40;0.01;Naive Bayes;no feature selection;no resample;11.00;1326.00;100.00;1.00;0.01;0.92;0.45;-0.00
SYNCOPE;28;0.96;0.37;0.00;Naive Bayes;no feature selection;no resample;0.00;12.00;902.00;0.00;0.00;0.00;0.00;0.00
SYNCOPE;29;0.93;0.35;0.00;Naive Bayes;no feature selection;no resample;0.00;186.00;1384.00;7.00;0.00;0.00;0.00;0.00
SYNCOPE;30;0.96;0.33;0.00;Naive Bayes;no feature selection;no resample;0.00;5.00;910.00;0.00;0.00;0.00;0.00;0.00
SYNCOPE;31;0.94;0.32;0.01;Naive Bayes;no feature selection;no resample;0.00;4.00;1654.00;24.00;0.00;0.00;0.00;0.00
MEAN;;;;;;;;170.06;154.81;416.16;80.10;0.42;0.51;0.57;0.22
;
SYNCOPE;1;0.67;0.50;0.00;Naive Bayes;no feature selection;Oversampling;0.00;0.00;548.00;1.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.80;0.50;0.00;Naive Bayes;no feature selection;Oversampling;0.00;0.00;548.00;1.00;0.00;0.00;0.00;0.00
SYNCOPE;3;0.86;0.50;0.00;Naive Bayes;no feature selection;Oversampling;1.00;7.00;542.00;0.00;0.13;1.00;0.99;0.22
SYNCOPE;4;0.89;0.50;0.01;Naive Bayes;no feature selection;Oversampling;3.00;14.00;532.00;1.00;0.18;0.75;0.92;0.28
SYNCOPE;5;0.91;0.50;0.13;Naive Bayes;no feature selection;Oversampling;71.00;479.00;2.00;0.00;0.13;1.00;0.52;0.00
SYNCOPE;6;0.92;0.50;0.07;Naive Bayes;no feature selection;Oversampling;38.00;356.00;165.00;0.00;0.10;1.00;0.79;0.06
SYNCOPE;7;0.93;0.50;0.07;Naive Bayes;no feature selection;Oversampling;38.00;335.00;186.00;0.00;0.10;1.00;0.90;0.07
SYNCOPE;8;0.92;0.50;0.04;Naive Bayes;no feature selection;Oversampling;9.00;60.00;648.00;18.00;0.13;0.33;0.70;0.14
SYNCOPE;9;0.95;0.50;0.04;Naive Bayes;no feature selection;Oversampling;10.00;34.00;499.00;15.00;0.23;0.40;0.88;0.25
SYNCOPE;10;0.94;0.50;0.04;Naive Bayes;no feature selection;Oversampling;10.00;44.00;662.00;20.00;0.19;0.33;0.75;0.20
SYNCOPE;11;0.94;0.50;0.04;Naive Bayes;no feature selection;Oversampling;1.00;1.00;711.00;26.00;0.50;0.04;0.63;0.06
SYNCOPE;12;0.95;0.50;0.45;Naive Bayes;no feature selection;Oversampling;3.00;0.00;408.00;332.00;1.00;0.01;0.56;0.01
SYNCOPE;13;0.95;0.50;0.60;Naive Bayes;no feature selection;Oversampling;285.00;6.00;291.00;166.00;0.98;0.63;0.82;0.56
SYNCOPE;14;0.95;0.50;0.64;Naive Bayes;no feature selection;Oversampling;430.00;42.00;230.00;59.00;0.91;0.88;0.88;0.72
SYNCOPE;15;0.95;0.50;0.04;Naive Bayes;no feature selection;Oversampling;31.00;489.00;241.00;0.00;0.06;1.00;0.67;0.04
SYNCOPE;16;0.97;0.50;0.03;Naive Bayes;no feature selection;Oversampling;13.00;180.00;366.00;1.00;0.07;0.93;0.89;0.08
SYNCOPE;17;0.96;0.50;0.64;Naive Bayes;no feature selection;Oversampling;50.00;5.00;267.00;441.00;0.91;0.10;0.58;0.06
SYNCOPE;18;0.96;0.50;0.62;Naive Bayes;no feature selection;Oversampling;427.00;94.00;199.00;43.00;0.82;0.91;0.93;0.61
SYNCOPE;19;0.96;0.50;0.81;Naive Bayes;no feature selection;Oversampling;638.00;2.00;167.00;66.00;1.00;0.91;0.99;0.78
SYNCOPE;20;0.96;0.50;0.82;Naive Bayes;no feature selection;Oversampling;354.00;0.00;165.00;374.00;1.00;0.49;0.99;0.26
SYNCOPE;21;0.96;0.50;0.13;Naive Bayes;no feature selection;Oversampling;88.00;639.00;142.00;30.00;0.12;0.75;0.51;-0.02
SYNCOPE;22;0.96;0.50;1.00;Naive Bayes;no feature selection;Oversampling;291.00;0.00;0.00;609.00;1.00;0.32;0.00;0.00
SYNCOPE;23;0.96;0.50;0.99;Naive Bayes;no feature selection;Oversampling;889.00;13.00;0.00;0.00;0.99;1.00;1.00;0.00
SYNCOPE;24;0.96;0.50;0.99;Naive Bayes;no feature selection;Oversampling;891.00;0.00;5.00;8.00;1.00;0.99;0.99;0.55
SYNCOPE;25;0.96;0.50;1.00;Naive Bayes;no feature selection;Oversampling;906.00;0.00;4.00;1.00;1.00;1.00;1.00;0.89
SYNCOPE;26;0.96;0.50;0.03;Naive Bayes;no feature selection;Oversampling;23.00;889.00;0.00;0.00;0.03;1.00;0.44;0.00
SYNCOPE;27;0.94;0.50;0.01;Naive Bayes;no feature selection;Oversampling;11.00;1370.00;56.00;1.00;0.01;0.92;0.47;-0.00
SYNCOPE;28;0.97;0.50;0.00;Naive Bayes;no feature selection;Oversampling;0.00;15.00;899.00;0.00;0.00;0.00;0.00;0.00
SYNCOPE;29;0.95;0.50;0.00;Naive Bayes;no feature selection;Oversampling;0.00;187.00;1383.00;7.00;0.00;0.00;0.00;0.00
SYNCOPE;30;0.97;0.50;0.00;Naive Bayes;no feature selection;Oversampling;0.00;6.00;909.00;0.00;0.00;0.00;0.00;0.00
SYNCOPE;31;0.95;0.50;0.01;Naive Bayes;no feature selection;Oversampling;0.00;6.00;1652.00;24.00;0.00;0.00;0.00;0.00
MEAN;;;;;;;;177.77;170.10;400.87;72.39;0.40;0.57;0.61;0.19
;
SYNCOPE;1;0.00;0.50;0.00;Naive Bayes;no feature selection;Undersampling;0.00;30.00;518.00;1.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.01;0.50;0.00;Naive Bayes;no feature selection;Undersampling;0.00;0.00;548.00;1.00;0.00;0.00;0.00;0.00
SYNCOPE;3;0.01;0.50;0.00;Naive Bayes;no feature selection;Undersampling;1.00;67.00;482.00;0.00;0.01;1.00;0.92;0.03
SYNCOPE;4;0.01;0.50;0.01;Naive Bayes;no feature selection;Undersampling;4.00;209.00;337.00;0.00;0.02;1.00;0.78;0.02
SYNCOPE;5;0.03;0.50;0.13;Naive Bayes;no feature selection;Undersampling;71.00;335.00;146.00;0.00;0.17;1.00;0.77;0.10
SYNCOPE;6;0.22;0.50;0.07;Naive Bayes;no feature selection;Undersampling;38.00;353.00;168.00;0.00;0.10;1.00;0.79;0.06
SYNCOPE;7;0.30;0.50;0.07;Naive Bayes;no feature selection;Undersampling;38.00;334.00;187.00;0.00;0.10;1.00;0.89;0.07
SYNCOPE;8;0.30;0.50;0.04;Naive Bayes;no feature selection;Undersampling;9.00;50.00;658.00;18.00;0.15;0.33;0.68;0.17
SYNCOPE;9;0.39;0.50;0.04;Naive Bayes;no feature selection;Undersampling;10.00;36.00;497.00;15.00;0.22;0.40;0.86;0.24
SYNCOPE;10;0.36;0.50;0.04;Naive Bayes;no feature selection;Undersampling;11.00;42.00;664.00;19.00;0.21;0.37;0.76;0.22
SYNCOPE;11;0.39;0.50;0.04;Naive Bayes;no feature selection;Undersampling;1.00;2.00;710.00;26.00;0.33;0.04;0.64;0.06
SYNCOPE;12;0.42;0.50;0.45;Naive Bayes;no feature selection;Undersampling;6.00;0.00;408.00;329.00;1.00;0.02;0.56;0.02
SYNCOPE;13;0.62;0.50;0.60;Naive Bayes;no feature selection;Undersampling;286.00;7.00;290.00;165.00;0.98;0.63;0.83;0.56
SYNCOPE;14;0.73;0.50;0.64;Naive Bayes;no feature selection;Undersampling;430.00;42.00;230.00;59.00;0.91;0.88;0.88;0.72
SYNCOPE;15;0.80;0.50;0.04;Naive Bayes;no feature selection;Undersampling;31.00;489.00;241.00;0.00;0.06;1.00;0.67;0.04
SYNCOPE;16;0.85;0.50;0.03;Naive Bayes;no feature selection;Undersampling;13.00;116.00;430.00;1.00;0.10;0.93;0.89;0.14
SYNCOPE;17;0.81;0.50;0.64;Naive Bayes;no feature selection;Undersampling;61.00;5.00;267.00;430.00;0.92;0.12;0.59;0.08
SYNCOPE;18;0.84;0.50;0.62;Naive Bayes;no feature selection;Undersampling;435.00;94.00;199.00;35.00;0.82;0.93;0.93;0.63
SYNCOPE;19;0.85;0.50;0.81;Naive Bayes;no feature selection;Undersampling;635.00;2.00;167.00;69.00;1.00;0.90;0.99;0.77
SYNCOPE;20;0.88;0.50;0.82;Naive Bayes;no feature selection;Undersampling;351.00;0.00;165.00;377.00;1.00;0.48;0.99;0.26
SYNCOPE;21;0.90;0.50;0.13;Naive Bayes;no feature selection;Undersampling;88.00;639.00;142.00;30.00;0.12;0.75;0.51;-0.02
SYNCOPE;22;0.90;0.50;1.00;Naive Bayes;no feature selection;Undersampling;237.00;0.00;0.00;663.00;1.00;0.26;0.00;0.00
SYNCOPE;23;0.92;0.50;0.99;Naive Bayes;no feature selection;Undersampling;887.00;1.00;12.00;2.00;1.00;1.00;1.00;0.89
SYNCOPE;24;0.93;0.50;0.99;Naive Bayes;no feature selection;Undersampling;891.00;0.00;5.00;8.00;1.00;0.99;0.99;0.55
SYNCOPE;25;0.94;0.50;1.00;Naive Bayes;no feature selection;Undersampling;906.00;0.00;4.00;1.00;1.00;1.00;1.00;0.89
SYNCOPE;26;0.94;0.50;0.03;Naive Bayes;no feature selection;Undersampling;23.00;889.00;0.00;0.00;0.03;1.00;0.44;0.00
SYNCOPE;27;0.91;0.50;0.01;Naive Bayes;no feature selection;Undersampling;11.00;1349.00;77.00;1.00;0.01;0.92;0.45;-0.00
SYNCOPE;28;0.94;0.50;0.00;Naive Bayes;no feature selection;Undersampling;0.00;16.00;898.00;0.00;0.00;0.00;0.00;0.00
SYNCOPE;29;0.91;0.50;0.00;Naive Bayes;no feature selection;Undersampling;0.00;187.00;1383.00;7.00;0.00;0.00;0.00;0.00
SYNCOPE;30;0.94;0.50;0.00;Naive Bayes;no feature selection;Undersampling;0.00;6.00;909.00;0.00;0.00;0.00;0.00;0.00
SYNCOPE;31;0.90;0.50;0.01;Naive Bayes;no feature selection;Undersampling;0.00;5.00;1653.00;24.00;0.00;0.00;0.00;0.00
MEAN;;;;;;;;176.58;171.13;399.84;73.58;0.40;0.58;0.61;0.21
;
SYNCOPE;1;0.50;0.00;0.00;Naive Bayes;no feature selection;smote;0.00;0.00;548.00;1.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.67;0.00;0.00;Naive Bayes;no feature selection;smote;0.00;0.00;548.00;1.00;0.00;0.00;0.00;0.00
SYNCOPE;3;0.75;0.00;0.00;Naive Bayes;no feature selection;smote;0.00;0.00;549.00;1.00;0.00;0.00;0.00;0.00
SYNCOPE;4;0.80;0.00;0.01;Naive Bayes;no feature selection;smote;2.00;5.00;541.00;2.00;0.29;0.50;0.92;0.36
SYNCOPE;5;0.83;0.00;0.13;Naive Bayes;no feature selection;smote;71.00;478.00;3.00;0.00;0.13;1.00;0.52;0.00
SYNCOPE;6;0.86;0.02;0.07;Naive Bayes;no feature selection;smote;38.00;339.00;182.00;0.00;0.10;1.00;0.79;0.07
SYNCOPE;7;0.87;0.03;0.07;Naive Bayes;no feature selection;smote;33.00;97.00;424.00;5.00;0.25;0.87;0.90;0.32
SYNCOPE;8;0.86;0.04;0.04;Naive Bayes;no feature selection;smote;7.00;38.00;670.00;20.00;0.16;0.26;0.68;0.16
SYNCOPE;9;0.90;0.04;0.04;Naive Bayes;no feature selection;smote;9.00;22.00;511.00;16.00;0.29;0.36;0.88;0.29
SYNCOPE;10;0.89;0.04;0.04;Naive Bayes;no feature selection;smote;8.00;26.00;680.00;22.00;0.24;0.27;0.75;0.22
SYNCOPE;11;0.90;0.04;0.04;Naive Bayes;no feature selection;smote;1.00;1.00;711.00;26.00;0.50;0.04;0.63;0.06
SYNCOPE;12;0.91;0.04;0.45;Naive Bayes;no feature selection;smote;3.00;0.00;408.00;332.00;1.00;0.01;0.56;0.01
SYNCOPE;13;0.91;0.08;0.60;Naive Bayes;no feature selection;smote;278.00;6.00;291.00;173.00;0.98;0.62;0.82;0.54
SYNCOPE;14;0.92;0.12;0.64;Naive Bayes;no feature selection;smote;429.00;42.00;230.00;60.00;0.91;0.88;0.88;0.71
SYNCOPE;15;0.93;0.16;0.04;Naive Bayes;no feature selection;smote;31.00;489.00;241.00;0.00;0.06;1.00;0.67;0.04
SYNCOPE;16;0.95;0.15;0.03;Naive Bayes;no feature selection;smote;12.00;98.00;448.00;2.00;0.11;0.86;0.89;0.16
SYNCOPE;17;0.93;0.15;0.64;Naive Bayes;no feature selection;smote;39.00;2.00;270.00;452.00;0.95;0.08;0.59;0.05
SYNCOPE;18;0.94;0.18;0.62;Naive Bayes;no feature selection;smote;426.00;93.00;200.00;44.00;0.82;0.91;0.93;0.61
SYNCOPE;19;0.93;0.21;0.81;Naive Bayes;no feature selection;smote;509.00;2.00;167.00;195.00;1.00;0.72;0.99;0.50
SYNCOPE;20;0.94;0.25;0.82;Naive Bayes;no feature selection;smote;348.00;0.00;165.00;380.00;1.00;0.48;0.99;0.25
SYNCOPE;21;0.94;0.28;0.13;Naive Bayes;no feature selection;smote;88.00;639.00;142.00;30.00;0.12;0.75;0.51;-0.02
SYNCOPE;22;0.94;0.27;1.00;Naive Bayes;no feature selection;smote;222.00;0.00;0.00;678.00;1.00;0.25;0.00;0.00
SYNCOPE;23;0.95;0.32;0.99;Naive Bayes;no feature selection;smote;887.00;0.00;13.00;2.00;1.00;1.00;1.00;0.93
SYNCOPE;24;0.95;0.35;0.99;Naive Bayes;no feature selection;smote;891.00;0.00;5.00;8.00;1.00;0.99;0.99;0.55
SYNCOPE;25;0.95;0.38;1.00;Naive Bayes;no feature selection;smote;906.00;0.00;4.00;1.00;1.00;1.00;1.00;0.89
SYNCOPE;26;0.95;0.41;0.03;Naive Bayes;no feature selection;smote;23.00;889.00;0.00;0.00;0.03;1.00;0.44;0.00
SYNCOPE;27;0.93;0.40;0.01;Naive Bayes;no feature selection;smote;11.00;1326.00;100.00;1.00;0.01;0.92;0.45;-0.00
SYNCOPE;28;0.96;0.37;0.00;Naive Bayes;no feature selection;smote;0.00;12.00;902.00;0.00;0.00;0.00;0.00;0.00
SYNCOPE;29;0.93;0.35;0.00;Naive Bayes;no feature selection;smote;0.00;186.00;1384.00;7.00;0.00;0.00;0.00;0.00
SYNCOPE;30;0.96;0.33;0.00;Naive Bayes;no feature selection;smote;0.00;5.00;910.00;0.00;0.00;0.00;0.00;0.00
SYNCOPE;31;0.94;0.32;0.01;Naive Bayes;no feature selection;smote;0.00;4.00;1654.00;24.00;0.00;0.00;0.00;0.00
MEAN;;;;;;;;170.06;154.81;416.16;80.10;0.42;0.51;0.57;0.22
;
SYNCOPE;1;0.50;0.00;0.00;Naive Bayes;Best First;no resample;0.00;0.00;548.00;1.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.67;0.00;0.00;Naive Bayes;Best First;no resample;0.00;0.00;548.00;1.00;0.00;0.00;0.00;0.00
