Progetto;#Training Release;%Training;%Buggy in training;%Buggy in test;Classifier;Feature selection;Balancing;TP;FP;TN;FN;Precision;Recall;Area Under ROC;Kappa
SYNCOPE;13;0.95;0.50;0.60;Random Forest;no feature selection;Oversampling;52.00;1.00;296.00;399.00;0.98;0.12;0.81;0.09
SYNCOPE;14;0.95;0.50;0.64;Random Forest;no feature selection;Oversampling;451.00;120.00;152.00;38.00;0.79;0.92;0.81;0.52
SYNCOPE;15;0.95;0.50;0.04;Random Forest;no feature selection;Oversampling;31.00;544.00;186.00;0.00;0.05;1.00;0.66;0.03
SYNCOPE;16;0.97;0.50;0.03;Random Forest;no feature selection;Oversampling;0.00;4.00;542.00;14.00;0.00;0.00;0.00;0.00
SYNCOPE;17;0.96;0.50;0.64;Random Forest;no feature selection;Oversampling;6.00;0.00;272.00;485.00;1.00;0.01;0.62;0.01
SYNCOPE;18;0.96;0.50;0.62;Random Forest;no feature selection;Oversampling;18.00;48.00;245.00;452.00;0.27;0.04;0.62;-0.10
SYNCOPE;19;0.96;0.50;0.81;Random Forest;no feature selection;Oversampling;489.00;14.00;155.00;215.00;0.97;0.69;0.89;0.42
SYNCOPE;20;0.96;0.50;0.82;Random Forest;no feature selection;Oversampling;723.00;32.00;133.00;5.00;0.96;0.99;0.90;0.85
SYNCOPE;21;0.96;0.50;0.13;Random Forest;no feature selection;Oversampling;91.00;659.00;122.00;27.00;0.12;0.77;0.53;-0.02
SYNCOPE;22;0.96;0.50;1.00;Random Forest;no feature selection;Oversampling;316.00;0.00;0.00;584.00;1.00;0.35;0.00;0.00
SYNCOPE;23;0.96;0.50;0.99;Random Forest;no feature selection;Oversampling;95.00;13.00;0.00;794.00;0.88;0.11;0.00;-0.03
SYNCOPE;24;0.96;0.50;0.99;Random Forest;no feature selection;Oversampling;890.00;0.00;5.00;9.00;1.00;0.99;1.00;0.52
SYNCOPE;25;0.96;0.50;1.00;Random Forest;no feature selection;Oversampling;907.00;1.00;3.00;0.00;1.00;1.00;1.00;0.86
SYNCOPE;26;0.96;0.50;0.03;Random Forest;no feature selection;Oversampling;23.00;889.00;0.00;0.00;0.03;1.00;0.48;0.00
SYNCOPE;27;0.94;0.50;0.01;Random Forest;no feature selection;Oversampling;3.00;290.00;1136.00;9.00;0.01;0.25;0.46;0.00
SYNCOPE;28;0.97;0.50;0.00;Random Forest;no feature selection;Oversampling;0.00;4.00;910.00;0.00;0.00;0.00;0.00;0.00
SYNCOPE;29;0.95;0.50;0.00;Random Forest;no feature selection;Oversampling;0.00;29.00;1541.00;7.00;0.00;0.00;0.00;0.00
SYNCOPE;30;0.97;0.50;0.00;Random Forest;no feature selection;Oversampling;0.00;1.00;914.00;0.00;0.00;0.00;0.00;0.00
SYNCOPE;31;0.95;0.50;0.01;Random Forest;no feature selection;Oversampling;0.00;1.00;1657.00;24.00;0.00;0.00;0.00;0.00
MEAN;;;;;;;;132.90;88.00;482.97;117.26;0.44;0.35;0.49;0.17
;
SYNCOPE;1;0.00;0.50;0.00;Random Forest;no feature selection;Undersampling;1.00;173.00;375.00;0.00;0.01;1.00;0.84;0.01
SYNCOPE;2;0.01;0.50;0.00;Random Forest;no feature selection;Undersampling;1.00;128.00;420.00;0.00;0.01;1.00;0.88;0.01
SYNCOPE;3;0.01;0.50;0.00;Random Forest;no feature selection;Undersampling;1.00;129.00;420.00;0.00;0.01;1.00;0.88;0.01
SYNCOPE;4;0.01;0.50;0.01;Random Forest;no feature selection;Undersampling;4.00;112.00;434.00;0.00;0.03;1.00;0.90;0.05
SYNCOPE;5;0.03;0.50;0.13;Random Forest;no feature selection;Undersampling;39.00;88.00;393.00;32.00;0.31;0.55;0.82;0.27
SYNCOPE;6;0.22;0.50;0.07;Random Forest;no feature selection;Undersampling;36.00;289.00;232.00;2.00;0.11;0.95;0.75;0.09
SYNCOPE;7;0.30;0.50;0.07;Random Forest;no feature selection;Undersampling;37.00;318.00;203.00;1.00;0.10;0.97;0.86;0.07
SYNCOPE;8;0.30;0.50;0.04;Random Forest;no feature selection;Undersampling;6.00;38.00;670.00;21.00;0.14;0.22;0.63;0.13
SYNCOPE;9;0.39;0.50;0.04;Random Forest;no feature selection;Undersampling;13.00;58.00;475.00;12.00;0.18;0.52;0.84;0.22
SYNCOPE;10;0.36;0.50;0.04;Random Forest;no feature selection;Undersampling;16.00;139.00;567.00;14.00;0.10;0.53;0.79;0.11
SYNCOPE;11;0.39;0.50;0.04;Random Forest;no feature selection;Undersampling;0.00;2.00;710.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;12;0.42;0.50;0.45;Random Forest;no feature selection;Undersampling;61.00;9.00;399.00;274.00;0.87;0.18;0.71;0.17
SYNCOPE;13;0.62;0.50;0.60;Random Forest;no feature selection;Undersampling;256.00;19.00;278.00;195.00;0.93;0.57;0.83;0.46
SYNCOPE;14;0.73;0.50;0.64;Random Forest;no feature selection;Undersampling;473.00;218.00;54.00;16.00;0.68;0.97;0.74;0.20
SYNCOPE;15;0.80;0.50;0.04;Random Forest;no feature selection;Undersampling;31.00;591.00;139.00;0.00;0.05;1.00;0.68;0.02
SYNCOPE;16;0.85;0.50;0.03;Random Forest;no feature selection;Undersampling;5.00;32.00;514.00;9.00;0.14;0.36;0.89;0.17
SYNCOPE;17;0.81;0.50;0.64;Random Forest;no feature selection;Undersampling;30.00;3.00;269.00;461.00;0.91;0.06;0.67;0.04
SYNCOPE;18;0.84;0.50;0.62;Random Forest;no feature selection;Undersampling;54.00;109.00;184.00;416.00;0.33;0.11;0.49;-0.21
SYNCOPE;19;0.85;0.50;0.81;Random Forest;no feature selection;Undersampling;501.00;23.00;146.00;203.00;0.96;0.71;0.92;0.41
SYNCOPE;20;0.88;0.50;0.82;Random Forest;no feature selection;Undersampling;725.00;31.00;134.00;3.00;0.96;1.00;0.95;0.86
SYNCOPE;21;0.90;0.50;0.13;Random Forest;no feature selection;Undersampling;91.00;657.00;124.00;27.00;0.12;0.77;0.53;-0.02
SYNCOPE;22;0.90;0.50;1.00;Random Forest;no feature selection;Undersampling;571.00;0.00;0.00;329.00;1.00;0.63;0.00;0.00
SYNCOPE;23;0.92;0.50;0.99;Random Forest;no feature selection;Undersampling;102.00;13.00;0.00;787.00;0.89;0.11;0.00;-0.03
SYNCOPE;24;0.93;0.50;0.99;Random Forest;no feature selection;Undersampling;890.00;0.00;5.00;9.00;1.00;0.99;1.00;0.52
SYNCOPE;25;0.94;0.50;1.00;Random Forest;no feature selection;Undersampling;907.00;1.00;3.00;0.00;1.00;1.00;1.00;0.86
SYNCOPE;26;0.94;0.50;0.03;Random Forest;no feature selection;Undersampling;23.00;889.00;0.00;0.00;0.03;1.00;0.44;0.00
SYNCOPE;27;0.91;0.50;0.01;Random Forest;no feature selection;Undersampling;3.00;296.00;1130.00;9.00;0.01;0.25;0.53;0.00
SYNCOPE;28;0.94;0.50;0.00;Random Forest;no feature selection;Undersampling;0.00;2.00;912.00;0.00;0.00;0.00;0.00;0.00
SYNCOPE;29;0.91;0.50;0.00;Random Forest;no feature selection;Undersampling;0.00;150.00;1420.00;7.00;0.00;0.00;0.00;0.00
SYNCOPE;30;0.94;0.50;0.00;Random Forest;no feature selection;Undersampling;0.00;2.00;913.00;0.00;0.00;0.00;0.00;0.00
SYNCOPE;31;0.90;0.50;0.01;Random Forest;no feature selection;Undersampling;0.00;1.00;1657.00;24.00;0.00;0.00;0.00;0.00
MEAN;;;;;;;;157.32;145.81;425.16;92.84;0.35;0.56;0.60;0.14
;
SYNCOPE;1;0.50;0.00;0.00;Random Forest;no feature selection;smote;0.00;0.00;548.00;1.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.67;0.00;0.00;Random Forest;no feature selection;smote;1.00;0.00;548.00;0.00;1.00;1.00;1.00;1.00
SYNCOPE;3;0.75;0.00;0.00;Random Forest;no feature selection;smote;1.00;1.00;548.00;0.00;0.50;1.00;1.00;0.67
SYNCOPE;4;0.80;0.00;0.01;Random Forest;no feature selection;smote;0.00;0.00;546.00;4.00;0.00;0.00;0.00;0.00
SYNCOPE;5;0.83;0.00;0.13;Random Forest;no feature selection;smote;1.00;0.00;481.00;70.00;1.00;0.01;0.64;0.02
SYNCOPE;6;0.86;0.02;0.07;Random Forest;no feature selection;smote;8.00;23.00;498.00;30.00;0.26;0.21;0.75;0.18
SYNCOPE;7;0.87;0.03;0.07;Random Forest;no feature selection;smote;1.00;2.00;519.00;37.00;0.33;0.03;0.81;0.04
SYNCOPE;8;0.86;0.04;0.04;Random Forest;no feature selection;smote;0.00;0.00;708.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;9;0.90;0.04;0.04;Random Forest;no feature selection;smote;1.00;2.00;531.00;24.00;0.33;0.04;0.82;0.06
SYNCOPE;10;0.89;0.04;0.04;Random Forest;no feature selection;smote;3.00;0.00;706.00;27.00;1.00;0.10;0.75;0.18
SYNCOPE;11;0.90;0.04;0.04;Random Forest;no feature selection;smote;0.00;0.00;712.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;12;0.91;0.04;0.45;Random Forest;no feature selection;smote;1.00;0.00;408.00;334.00;1.00;0.00;0.56;0.00
SYNCOPE;13;0.91;0.08;0.60;Random Forest;no feature selection;smote;162.00;1.00;296.00;289.00;0.99;0.36;0.83;0.31
SYNCOPE;14;0.92;0.12;0.64;Random Forest;no feature selection;smote;437.00;69.00;203.00;52.00;0.86;0.89;0.90;0.65
SYNCOPE;15;0.93;0.16;0.04;Random Forest;no feature selection;smote;31.00;490.00;240.00;0.00;0.06;1.00;0.76;0.04
SYNCOPE;16;0.95;0.15;0.03;Random Forest;no feature selection;smote;0.00;1.00;545.00;14.00;0.00;0.00;0.00;0.00
SYNCOPE;17;0.93;0.15;0.64;Random Forest;no feature selection;smote;0.00;0.00;272.00;491.00;0.00;0.00;0.00;0.00
SYNCOPE;18;0.94;0.18;0.62;Random Forest;no feature selection;smote;1.00;25.00;268.00;469.00;0.04;0.00;0.69;-0.06
SYNCOPE;19;0.93;0.21;0.81;Random Forest;no feature selection;smote;482.00;2.00;167.00;222.00;1.00;0.68;0.95;0.45
SYNCOPE;20;0.94;0.25;0.82;Random Forest;no feature selection;smote;723.00;16.00;149.00;5.00;0.98;0.99;0.98;0.92
SYNCOPE;21;0.94;0.28;0.13;Random Forest;no feature selection;smote;90.00;647.00;134.00;28.00;0.12;0.76;0.54;-0.02
SYNCOPE;22;0.94;0.27;1.00;Random Forest;no feature selection;smote;278.00;0.00;0.00;622.00;1.00;0.31;0.00;0.00
SYNCOPE;23;0.95;0.32;0.99;Random Forest;no feature selection;smote;53.00;13.00;0.00;836.00;0.80;0.06;0.00;-0.03
SYNCOPE;24;0.95;0.35;0.99;Random Forest;no feature selection;smote;890.00;0.00;5.00;9.00;1.00;0.99;1.00;0.52
SYNCOPE;25;0.95;0.38;1.00;Random Forest;no feature selection;smote;907.00;1.00;3.00;0.00;1.00;1.00;1.00;0.86
SYNCOPE;26;0.95;0.41;0.03;Random Forest;no feature selection;smote;23.00;889.00;0.00;0.00;0.03;1.00;0.87;0.00
SYNCOPE;27;0.93;0.40;0.01;Random Forest;no feature selection;smote;3.00;263.00;1163.00;9.00;0.01;0.25;0.47;0.01
SYNCOPE;28;0.96;0.37;0.00;Random Forest;no feature selection;smote;0.00;5.00;909.00;0.00;0.00;0.00;0.00;0.00
SYNCOPE;29;0.93;0.35;0.00;Random Forest;no feature selection;smote;0.00;21.00;1549.00;7.00;0.00;0.00;0.00;0.00
SYNCOPE;30;0.96;0.33;0.00;Random Forest;no feature selection;smote;0.00;1.00;914.00;0.00;0.00;0.00;0.00;0.00
SYNCOPE;31;0.94;0.32;0.01;Random Forest;no feature selection;smote;0.00;1.00;1657.00;24.00;0.00;0.00;0.00;0.00
MEAN;;;;;;;;132.16;79.77;491.19;118.00;0.43;0.35;0.49;0.19
;
SYNCOPE;1;0.50;0.00;0.00;Random Forest;Best First;no resample;0.00;0.00;548.00;1.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.67;0.00;0.00;Random Forest;Best First;no resample;0.00;0.00;548.00;1.00;0.00;0.00;0.00;0.00
SYNCOPE;3;0.75;0.00;0.00;Random Forest;Best First;no resample;0.00;0.00;549.00;1.00;0.00;0.00;0.00;0.00
SYNCOPE;4;0.80;0.00;0.01;Random Forest;Best First;no resample;1.00;1.00;545.00;3.00;0.50;0.25;0.62;0.33
SYNCOPE;5;0.83;0.00;0.13;Random Forest;Best First;no resample;2.00;1.00;480.00;69.00;0.67;0.03;0.52;0.04
